x1i10hfl href,x193iq5w,xpdipgo src,x1i10hfl,x1i10hfl href 2,_aacl,x1i10hfl 2,x1i10hfl href 3,x1i10hfl 3,x1i10hfl href 4,x1i10hfl 4,x1i10hfl href 5,x1i10hfl href 6,_a9ze,_aaqe,html-span
https://www.instagram.com/p/CL7PWhanX-L/liked_by/,Me gusta,,,,,,,,,,,,,,50
https://www.instagram.com/rodolfopedrero.guerra/,Ver traducción,https://instagram.fmex1-5.fna.fbcdn.net/v/t51.2885-19/349127562_1183018405695625_3408245614568871465_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-5.fna.fbcdn.net&_nc_cat=101&_nc_ohc=gmQI4xuCkAYAX_zTxxp&edm=ALQROFkBAAAA&ccb=7-5&oh=00_AfByC17rfH-5bcvljPGcBICByok__2fbVfHOJd0mF0QS0A&oe=653248F3&_nc_sid=fc8dfb,rodolfopedrero.guerra,https://www.instagram.com/rodolfopedrero.guerra/,Me siento muy afortunado de conocer y trabajar de la mano con personas tan comprometidas yenfocadas en el bien de nuestra .,#comunidad,https://www.instagram.com/explore/tags/comunidad/,#479GDL,https://www.instagram.com/explore/tags/479gdl/,#RodolfoPedrero,https://www.instagram.com/explore/tags/rodolfopedrero/,https://www.instagram.com/explore/tags/felizlunes/,136 sem,,
https://www.instagram.com/p/CL7PWhanX-L/,,,,,,,,,,,,,,2 de marzo de 2021,
https://www.instagram.com/p/BkGYQeUFP7q/liked_by/,Me gusta,,,,,,,,,,,,,,4
https://www.instagram.com/el_parris_rafa_olmos/,Ver traducción,https://instagram.fmex1-1.fna.fbcdn.net/v/t51.2885-19/327157650_155933507232070_8892319609938895596_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=Eghmdlml30sAX9x0XkG&edm=ALQROFkBAAAA&ccb=7-5&oh=00_AfCNeN6IlaqIInZOcfEHqdQNeAGFr89FdQo6yEQVsLpUWA&oe=65330C78&_nc_sid=fc8dfb,el_parris_rafa_olmos,https://www.instagram.com/el_parris_rafa_olmos/,Creo que en jalisco el 1 de julio tendra gobernador de morena,#drcarloslomeli,https://www.instagram.com/explore/tags/drcarloslomeli/,#sivotasporamlovotalomeli,https://www.instagram.com/explore/tags/sivotasporamlovotalomeli/,,,,278 sem,,
https://www.instagram.com/p/BkGYQeUFP7q/,,,,,,,,,,,,,,16 de junio de 2018,
https://www.instagram.com/p/BkZKe5cFgdB/liked_by/,Me gusta,,,,,,,,,,,,,,9
https://www.instagram.com/raulortegasolis/,Ver traducción,https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/344149235_204811805688547_5498974578138822185_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=107&_nc_ohc=G_CDBwA9ZGIAX9vago8&edm=ALQROFkBAAAA&ccb=7-5&oh=00_AfAc5_11-g57VGX9SE5_LUekNb9FZP9rTgw7G0S4X7lBqg&oe=653260AE&_nc_sid=fc8dfb,raulortegasolis,https://www.instagram.com/raulortegasolis/,Una fiesta cívica el cierre de campaña en Zapopan  presidente  diputado local  diputada federal  Gobernador  presidente municipal,#AMLO,https://www.instagram.com/explore/tags/amlo/,#JoséManuel,https://www.instagram.com/explore/tags/jos%C3%A9manuel/,#Carla,https://www.instagram.com/explore/tags/carla/,https://www.instagram.com/explore/tags/drcarloslomeli/,277 sem,,
https://www.instagram.com/p/BkZKe5cFgdB/,,,,,,,,,,,,,,23 de junio de 2018,
https://www.instagram.com/p/BbShOb2Bjua/liked_by/,Me gusta,,,,,,,,,,,,,,10
https://www.instagram.com/jorgefrias91/,Ver traducción,https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/280710941_966279197304197_7841583457870126618_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=105&_nc_ohc=bZiEzcPLyLwAX9pifv7&edm=ALQROFkBAAAA&ccb=7-5&oh=00_AfD4aFo-ZkiaMAG-_AMmBxXBfYAs4hySrqwmOYEMjnMYeA&oe=6532B88B&_nc_sid=fc8dfb,jorgefrias91,https://www.instagram.com/jorgefrias91/,Prosperando para un mejor Zapopan 💪🏻,#EspaciosHumanos,https://www.instagram.com/explore/tags/espacioshumanos/,#DrCarlosLomeli,https://www.instagram.com/explore/tags/drcarloslomeli/,,,,309 sem,,
https://www.instagram.com/p/BbShOb2Bjua/,,,,,,,,,,,,,,9 de noviembre de 2017,
https://www.instagram.com/p/BhF_IX9gjeF/liked_by/,Me gusta,,,,,,,,,,,,,,180
https://www.instagram.com/izcallifuentes/,Ver traducción,https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/335527299_6715849851762992_6507758205026735857_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=108&_nc_ohc=ZmE09YxzBHUAX_ZoG4q&edm=ALQROFkBAAAA&ccb=7-5&oh=00_AfCRuOq65X8BG5_KTm0N9oMjkQpeZT0fDDqVezwqhhhkWQ&oe=6532AD73&_nc_sid=fc8dfb,izcallifuentes,https://www.instagram.com/izcallifuentes/,Yo y mis gestos de atención en la apertura de campaña de  . Foto: Alberto.,#drcarloslomeli,https://www.instagram.com/explore/tags/drcarloslomeli/,#morenaJalisco,https://www.instagram.com/explore/tags/morenajalisco/,julietellez,https://www.instagram.com/julietellez/,https://www.instagram.com/julietellez/,288 sem,,
https://www.instagram.com/p/BhF_IX9gjeF/,,,,,,,,,,,,,,2 de abril de 2018,
https://www.instagram.com/p/BUJ-lF9jUdF/liked_by/,Me gusta,,,,,,,,,,,,,,8
https://www.instagram.com/captain.kevv/,Ver traducción,https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/372882780_822267069649676_5197229568989106222_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=108&_nc_ohc=bxtiWtjWy50AX8mc960&edm=ALQROFkBAAAA&ccb=7-5&oh=00_AfBi2hKw9gdDBp4q5hRAb5jVj8sKHQE8fw9n7icT_Qx9Aw&oe=65329D02&_nc_sid=fc8dfb,captain.kevv,https://www.instagram.com/captain.kevv/,Sangre Zapata !! Por que este gallo les canta en su gallinero!,#Morena,https://www.instagram.com/explore/tags/morena/,#DrCarlosLomeli,https://www.instagram.com/explore/tags/drcarloslomeli/,#EntuCasaPeñaNieto,https://www.instagram.com/explore/tags/entucasape%C3%B1anieto/,,334 sem,,
https://www.instagram.com/p/BUJ-lF9jUdF/,,,,,,,,,,,,,,16 de mayo de 2017,
https://www.instagram.com/p/CIe7Ig5h66P/liked_by/,Me gusta,,,,,,,,,,,,,,19
https://www.instagram.com/ricardo.delatorre22/,Ver traducción,https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/375524086_977374283527060_3808826307008739113_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=104&_nc_ohc=PSonrUOi84YAX8fF1Rk&edm=ALQROFkBAAAA&ccb=7-5&oh=00_AfCABqi3KyxrQWSInZxWJFDXOy4TqK3_O4_SvhPLftCAPQ&oe=6532046B&_nc_sid=fc8dfb,ricardo.delatorre22,https://www.instagram.com/ricardo.delatorre22/,"👉Estuvimos presentes en la colonia ferrocarril en el poligo las vías.💥Colonia Abandonada y olvidada por el gobierno municipal y estatal.💥👉La contingencia sanitaria, dejó a muchas familias de esta comunidad  sin trabajo y con esto sin seguridad social, además sin recursos para poder solventar los gastos médicos si se presenta una enfermadad.👉Por tal motivo nos comprometimos a apoyar a la comunidad en general y con ello llevaremos a cabo en los próximos días una jornada de salud. 🤝👨‍⚕️🤝Gracias al apoyo del DR. CARLOS LOMELÍ, no están solos y seguimos trabajando!!!🤝",#ricardovivirparaservir,https://www.instagram.com/explore/tags/ricardovivirparaservir/,#drcarloslomeli,https://www.instagram.com/explore/tags/drcarloslomeli/,#VivirParaServir,https://www.instagram.com/explore/tags/vivirparaservir/,,149 sem,,
https://www.instagram.com/p/CIe7Ig5h66P/,,,,,,,,,,,,,,6 de diciembre de 2020,
https://www.instagram.com/p/BkZB7JtFbVW/liked_by/,Me gusta,,,,,,,,,,,,,,10
https://www.instagram.com/raulortegasolis/,Ver traducción,https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/344149235_204811805688547_5498974578138822185_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=107&_nc_ohc=G_CDBwA9ZGIAX9vago8&edm=ALQROFkBAAAA&ccb=7-5&oh=00_AfAc5_11-g57VGX9SE5_LUekNb9FZP9rTgw7G0S4X7lBqg&oe=653260AE&_nc_sid=fc8dfb,raulortegasolis,https://www.instagram.com/raulortegasolis/,Cierre de campaña en Zapopan  Presidente  # presidente municipal,#AMLO,https://www.instagram.com/explore/tags/amlo/,#drcarloslomeli,https://www.instagram.com/explore/tags/drcarloslomeli/,#HiramTorres,https://www.instagram.com/explore/tags/hiramtorres/,,277 sem,,
https://www.instagram.com/p/BkZB7JtFbVW/,,,,,,,,,,,,,,23 de junio de 2018,
https://www.instagram.com/p/BW-xMzdA-3X/liked_by/,Me gusta,,,,,,,,,,,,,,7
https://www.instagram.com/claudiolofres/,Ver traducción,https://instagram.fmex1-5.fna.fbcdn.net/v/t51.2885-19/323808448_2375906155921503_3669841772817102718_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-5.fna.fbcdn.net&_nc_cat=103&_nc_ohc=1KS0Vv0KBvEAX_6NmAu&edm=ALQROFkBAAAA&ccb=7-5&oh=00_AfCELstTBlsIqD7S4m8oECssSNgUgCgtnKR6mGqPdVaaBA&oe=653217F1&_nc_sid=fc8dfb,claudiolofres,https://www.instagram.com/claudiolofres/,"Parque entregado.Col. El Vigia, Zapopan",#EspaciosHumanos,https://www.instagram.com/explore/tags/espacioshumanos/,#drcarloslomeli,https://www.instagram.com/explore/tags/drcarloslomeli/,#mexicomeuno,https://www.instagram.com/explore/tags/mexicomeuno/,,324 sem,,
https://www.instagram.com/p/BW-xMzdA-3X/,,,,,,,,,,,,,,25 de julio de 2017,
https://www.instagram.com/p/CJFjPpFh3et/liked_by/,Me gusta,,,,,,,,,,,,,,14
https://www.instagram.com/ricardo.delatorre22/,Ver traducción,https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/375524086_977374283527060_3808826307008739113_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=104&_nc_ohc=PSonrUOi84YAX8fF1Rk&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfBJdlHW1sKAFzE9U6BS7cYm6wAX_ELdgvJ9XLNWAejBgg&oe=6532046B&_nc_sid=f5838a,ricardo.delatorre22,https://www.instagram.com/ricardo.delatorre22/,"👉Con todas la medidas sanitarias, realizamos a través de las asociacion civil  la tradicional posada en la colonia Primero de Mayo y sus alrededores.☃️🎅🤶🎄🎁🧸☃️🎅🎄Nuestro propósito es llevar  y  en tiempos difíciles y sobre todo no perder esta tradición en épocas de sembrina.⛄🎄🎅👉🎅Gracias a todos los que se dieron cita.🤝",#creandolazosdebienestar,https://www.instagram.com/explore/tags/creandolazosdebienestar/,#alegría,https://www.instagram.com/explore/tags/alegr%C3%ADa/,#esperanza,https://www.instagram.com/explore/tags/esperanza/,https://www.instagram.com/explore/tags/ricardovivirparaservir/,146 sem,,
https://www.instagram.com/p/CJFjPpFh3et/,,,,,,,,,,,,,,21 de diciembre de 2020,
https://www.instagram.com/p/CCAIUqzJmtJ/liked_by/,Me gusta,,,,,,,,,,,,,,8
https://www.instagram.com/vallartabanderas/,Ver traducción,https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/83895620_632078700956813_5752236402314051584_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=105&_nc_ohc=egIIyLdW2ZsAX8Eic2_&edm=ALQROFkBAAAA&ccb=7-5&oh=00_AfCipgO9y2QPWqgkjbFVTaSHRz7iilesPL29oi5m_M4Ttw&oe=6533AAA3&_nc_sid=fc8dfb,vallartabanderas,https://www.instagram.com/vallartabanderas/,MORENA redobla críticas contra Paco Sánchez.•••••,#morena,https://www.instagram.com/explore/tags/morena/,#4transformacion,https://www.instagram.com/explore/tags/4transformacion/,#amlo,https://www.instagram.com/explore/tags/amlo/,https://www.instagram.com/explore/tags/cuartatransformaci%C3%B3n/,163 sem,,
https://www.instagram.com/p/CCAIUqzJmtJ/,,,,,,,,,,,,,,28 de junio de 2020,
https://www.instagram.com/p/CbAs3k3uUnn/liked_by/,Me gusta,,,,,,,,,,,,,,9
https://www.instagram.com/vallartabanderas/,Ver traducción,https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/83895620_632078700956813_5752236402314051584_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=105&_nc_ohc=egIIyLdW2ZsAX8Eic2_&edm=ALQROFkBAAAA&ccb=7-5&oh=00_AfCipgO9y2QPWqgkjbFVTaSHRz7iilesPL29oi5m_M4Ttw&oe=6533AAA3&_nc_sid=fc8dfb,vallartabanderas,https://www.instagram.com/vallartabanderas/,"Por primera vez, con humildad y valentía,  se someterá a la , asegura  en .El edil de  inició en esta ciudad su gira para respaldar el proyecto de nación bajo la 4T.Información en proceso. •••",#AMLO,https://www.instagram.com/explore/tags/amlo/,#RevocacióndeMandato,https://www.instagram.com/explore/tags/revocaci%C3%B3ndemandato/,#PuertoVallarta,https://www.instagram.com/explore/tags/puertovallarta/,https://www.instagram.com/explore/tags/morenaguadalajara/,83 sem,,
https://www.instagram.com/p/CbAs3k3uUnn/,,,,,,,,,,,,,,12 de marzo de 2022,
https://www.instagram.com/p/BfG7lbUH4hd/liked_by/,Me gusta,,,,,,,,,,,,,,38
https://www.instagram.com/alex.lopez.ibarra/,Ver traducción,https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/327480273_497062432612108_5440573186566047298_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=104&_nc_ohc=b5YKYUmF_hUAX_iry6g&edm=ALQROFkBAAAA&ccb=7-5&oh=00_AfCVNr7oKbDWkPKXIsaJmpdES7Y4-i5UagLHcLKImTYsvw&oe=6532DCC4&_nc_sid=fc8dfb,alex.lopez.ibarra,https://www.instagram.com/alex.lopez.ibarra/,Ayer fue un magnífico día !! Cierre de campaña de  y el,#AMLO,https://www.instagram.com/explore/tags/amlo/,#DrCarlosLomeli,https://www.instagram.com/explore/tags/drcarloslomeli/,#Morena2018,https://www.instagram.com/explore/tags/morena2018/,,296 sem,,
https://www.instagram.com/p/BfG7lbUH4hd/,,,,,,,,,,,,,,12 de febrero de 2018,
https://www.instagram.com/p/CIoPDu7Borc/liked_by/,Me gusta,,,,,,,,,,,,,,21
https://www.instagram.com/ricardo.delatorre22/,Ver traducción,https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/375524086_977374283527060_3808826307008739113_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=104&_nc_ohc=PSonrUOi84YAX8fF1Rk&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfBJdlHW1sKAFzE9U6BS7cYm6wAX_ELdgvJ9XLNWAejBgg&oe=6532046B&_nc_sid=f5838a,ricardo.delatorre22,https://www.instagram.com/ricardo.delatorre22/,"🎅Lunes 7 de diciembre 2020.🎅👉Con todas la medidas sanitarias, realizamos a través de las asociacion civil  la tradicional posada en la colonia Nueva Santa maria y sus alrededores.☃️🎅🤶🎄🎁🧸☃️🎅🎄Nuestro propósito es llevar  y  en tiempos difíciles y sobre todo no perder esta tradición en épocas de sembrina.⛄🎄🎅👉🎅Gracias a todos los que se dieron cita.🤝",#creandolazosdebienestar,https://www.instagram.com/explore/tags/creandolazosdebienestar/,#alegría,https://www.instagram.com/explore/tags/alegr%C3%ADa/,#esperanza,https://www.instagram.com/explore/tags/esperanza/,https://www.instagram.com/explore/tags/ricardovivirparaservir/,148 sem,,
https://www.instagram.com/p/CIoPDu7Borc/,,,,,,,,,,,,,,10 de diciembre de 2020,
https://www.instagram.com/p/CJL85A2BTVR/liked_by/,Me gusta,,,,,,,,,,,,,,17
https://www.instagram.com/ricardo.delatorre22/,Ver traducción,https://instagram.fmex1-6.fna.fbcdn.net/v/t51.2885-19/375524086_977374283527060_3808826307008739113_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-6.fna.fbcdn.net&_nc_cat=104&_nc_ohc=PSonrUOi84YAX8fF1Rk&edm=ALQROFkBAAAA&ccb=7-5&oh=00_AfCABqi3KyxrQWSInZxWJFDXOy4TqK3_O4_SvhPLftCAPQ&oe=6532046B&_nc_sid=fc8dfb,ricardo.delatorre22,https://www.instagram.com/ricardo.delatorre22/,"👉Hoy estuvimos presentes en la colonia que me vio crecer 👨‍👦🏃‍♂️, es para mi muy grato el poder compartir estos momentos cerca de los mios🤝👉Con todas la medidas sanitarias, realizamos a través de las asociacion civil  la tradicional posada en la colonia La Nogalera.☃️🎅🤶🎄🎁🧸☃️🎅🎄Nuestro propósito es llevar  y  en tiempos difíciles y sobre todo no perder esta tradición en épocas de sembrina.⛄🎄🎅👉🎅Gracias a todos los que se dieron cita.🤝",#creandolazosdebienestar,https://www.instagram.com/explore/tags/creandolazosdebienestar/,#alegría,https://www.instagram.com/explore/tags/alegr%C3%ADa/,#esperanza,https://www.instagram.com/explore/tags/esperanza/,https://www.instagram.com/explore/tags/ricardovivirparaservir/,146 sem,,
https://www.instagram.com/p/CJL85A2BTVR/,,,,,,,,,,,,,,24 de diciembre de 2020,
https://www.instagram.com/p/BhPAvbtnEb3/liked_by/,Me gusta,,,,,,,,,,,,,,22
https://www.instagram.com/jessica_torres.oficial/,Ver traducción,https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/312007939_211189711245955_4870472990014609431_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=107&_nc_ohc=ZpRG5qOqXaMAX-3k5ub&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfCJuhf06eZEml7bGGH6W1ttLZL7qf1ykw7i_yEKnLXmbQ&oe=653371A5&_nc_sid=f5838a,jessica_torres.oficial,https://www.instagram.com/jessica_torres.oficial/,JALISCO TIENE ESPERANZA!!!  gobernador 👏🏼👏🏼👏🏼👏🏼💯🇲🇽 😄AYER TOCO DISTRITO 13 DONDE CONTAMOS CON EXCELENTES REPRESENTANTES QUE SEGURO HARÁN UN GRAN TRABAJO!!!  👏🏼👏🏼👏🏼  👏🏼👏🏼👏🏼💯🇲🇽😄,#DRCarlosLomeli,https://www.instagram.com/explore/tags/drcarloslomeli/,#alexlopezdistrito13,https://www.instagram.com/explore/tags/alexlopezdistrito13/,,,,288 sem,,
https://www.instagram.com/p/BhPAvbtnEb3/,,,,,,,,,,,,,,6 de abril de 2018,
https://www.instagram.com/p/BoOB0vRA4zm/liked_by/,Me gusta,,,,,,,,,,,,,,14
https://www.instagram.com/jessica_torres.oficial/,Ver traducción,https://instagram.fmex1-4.fna.fbcdn.net/v/t51.2885-19/312007939_211189711245955_4870472990014609431_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fmex1-4.fna.fbcdn.net&_nc_cat=107&_nc_ohc=ZpRG5qOqXaMAX-3k5ub&edm=ALQROFkBAAAA&ccb=7-5&oh=00_AfDFy48k7jgHXfkfzVs5olRMKQmzWZUSAgcijqvT4CqG0w&oe=653371A5&_nc_sid=fc8dfb,jessica_torres.oficial,https://www.instagram.com/jessica_torres.oficial/,"Hoy en el  se llevó a cabo el  donde estuvieron el rector de la UDG, nuestro coordinador estatal de Programas Federales el  y el Secretario de Educación  propuesto por nuestro presidente electo  . Fue un foro bastante nutrido donde fueron expuestas propuestas de maestros , estudiantes y personas interesadas en el avance y desarrollo educativo, dónde quedo hubo mucho en que para ""avanzar todos tenemos que participar"". Vamos por un excelente camino rumbo a la transición de México y Jalisco.",#Coliseoolimpico,https://www.instagram.com/explore/tags/coliseoolimpico/,#ForodeconsultaestatalparticipativaenJalisco,https://www.instagram.com/explore/tags/forodeconsultaestatalparticipativaenjalisco/,#DrCarlosLomeli,https://www.instagram.com/explore/tags/drcarloslomeli/,https://www.instagram.com/explore/tags/estebanmoctezumabarragan/,263 sem,,
https://www.instagram.com/p/BoOB0vRA4zm/,,,,,,,,,,,,,,27 de septiembre de 2018,
https://www.instagram.com/p/CLzeEr9ha4W/liked_by/,Me gusta,,,,,,,,,,,,,,22
