"css-4rbku5 href","css-9pa8cd src","css-4rbku5 href 2","css-901oao","css-901oao 2","css-901oao 3","css-4rbku5 href 4","css-4rbku5","css-901oao 4","r-4qtqp9 src","css-901oao 5","css-4rbku5 href 5","css-9pa8cd src 2","css-901oao 6","css-901oao 7","css-901oao 8","css-4rbku5 href 6","css-901oao 9","r-4qtqp9 src 2","css-901oao 10","css-4rbku5 href 7","css-9pa8cd src 3","css-4rbku5 href 8","css-9pa8cd src 4","css-4rbku5 2","css-4rbku5 3","css-901oao 11","css-901oao 12","css-4rbku5 href 9","css-9pa8cd src 5","css-4rbku5 href 10","css-4rbku5 href 11","css-901oao 13","css-901oao 14"
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","https://twitter.com/PabloLemusN","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1707530867327779327","28 sept.","Fue un gusto celebrar el 65 aniversario","https://abs-0.twimg.com/emoji/v2/svg/1f973.svg","de la Escuela Primaria Manuel M. Diéguez, una de las escuelas más antiguas de la ciudad, con la extraordinaria música del Mariachi Juana de Asbaje.","https://twitter.com/PabloLemusN/status/1707530867327779327/photo/1","https://pbs.twimg.com/media/F7JeQnIXkAAHKl6?format=jpg&name=small","12","7","31","https://twitter.com/PabloLemusN/status/1707530867327779327/analytics","2.354","","","https://twitter.com/PabloLemusN/status/1707530867327779327/photo/2","https://pbs.twimg.com/media/F7JeRMXWgAAYPfp?format=jpg&name=360x360","","","","","","","","","","","",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","https://twitter.com/PabloLemusN","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1707530923791577417","28 sept.","Muchas felicidades a las y los estudiantes","https://abs-0.twimg.com/emoji/v2/svg/1f466.svg",", maestras, maestros, comunidad educativa","https://twitter.com/PabloLemusN/status/1707530923791577417/photo/1","https://pbs.twimg.com/media/F7JeTo7XMAAcM5k?format=jpg&name=small","1","2","8","https://twitter.com/PabloLemusN/status/1707530923791577417/analytics","718","https://abs-0.twimg.com/emoji/v2/svg/1f467.svg",", así como a las madres y padres de familia por un año más de vida de su querida escuela.","https://twitter.com/PabloLemusN/status/1707530923791577417/photo/2","https://pbs.twimg.com/media/F7JeUIPW0AEjOCn?format=jpg&name=360x360","https://twitter.com/PabloLemusN/status/1707530923791577417/photo/3","https://pbs.twimg.com/media/F7JeUilXMAAWl0k?format=jpg&name=360x360","","","","","","","","","",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","https://twitter.com/PabloLemusN","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1707530964572721252","28 sept.","Vamos a seguir haciendo equipo","https://abs-0.twimg.com/emoji/v2/svg/1f4aa.svg","en beneficio de la educación para que la niñez desarrolle sus habilidades y puedan cumplir sus sueños. ¡Ánimo, muchas felicidades!","https://twitter.com/PabloLemusN/status/1707530964572721252/photo/2","https://pbs.twimg.com/media/F7JeWkbW8AApyuy?format=jpg&name=small","","1","3","","789","","","https://twitter.com/PabloLemusN/status/1707530964572721252/photo/1","https://pbs.twimg.com/media/F7JeXCEWUAA2eb6?format=jpg&name=360x360","https://twitter.com/PabloLemusN/status/1707530964572721252/analytics","","","","","","","","","","13",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","https://twitter.com/PabloLemusN","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1707474067379401213","28 sept.","La Catedral Metropolitana es uno de los principales símbolos arquitectónicos de Guadalajara y de Jalisco. Y para sentirnos más orgullosos les tenemos buenas noticias.
Escucha la siguiente información y conoce sobre el trabajo que hacemos para preservar el patrimonio cultural.","","1:47","","","","29","29","","10,7 mil","","","","","https://twitter.com/PabloLemusN/status/1707474067379401213/analytics","","","","","","","","","","123",""
"https://twitter.com/dalefonmx","https://pbs.twimg.com/profile_images/1691548303953936386/oC183ToR_normal.jpg","https://twitter.com/dalefonmx","Dalefon","@dalefonmx","Tu cel + eSIM = Match perfecto","","","Sé parte del futuro con la nueva alternativa a los ""chips"". Adquiere tu eSIM gratis con una recarga de 10GB por $50pesos, cobertura Nacional, EE.UU y Canadá.","https://abs-0.twimg.com/emoji/v2/svg/1f49c.svg","20","","https://pbs.twimg.com/media/F7TBQjnbQAA3lxv?format=png&name=120x120","","dalefon.mx","1","","7","","94,7 mil","https://dalefon.mx/?utm_source=twitter&utm_medium=ad&utm_campaign=trafico_esim&utm_id=2&twclid=2-3pmc2bjhs4l7rsmrvxuef6z9p","","https://twitter.com/dalefonmx/status/1708916604996931993/analytics","","","","Promocionado","","","","","","",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","https://twitter.com/PabloLemusN","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1707116548484198706","27 sept.","Sabemos que para tener una sociedad igualitaria y respetuosa debemos fomentar la inclusión y la empatía, por eso, en este “Día Mundial del Turismo” inauguramos los recorridos turísticos “Guadalajara Bien Incluyente”","https://abs-0.twimg.com/emoji/v2/svg/1f469-200d-1f9bd.svg",".","https://twitter.com/PabloLemusN/status/1707116548484198706/photo/1","https://pbs.twimg.com/media/F7DlcykXgAAho5b?format=jpg&name=small","18","9","56","https://twitter.com/PabloLemusN/status/1707116548484198706/analytics","2.891","https://abs-0.twimg.com/emoji/v2/svg/1f9d1-200d-1f9bd.svg","","","","","","","","","","","","","","",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","https://twitter.com/PabloLemusN","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1707116629887156284","27 sept.","A través de la Dirección de Turismo, en coordinación con la Dirección de Capacitación e Inclusión, se llevarán a cabo la primera semana de cada mes, para personas con discapacidad recorriendo los edificios ubicados en la ""Cruz de Plazas"" del","https://abs-0.twimg.com/emoji/v2/svg/1f54d.svg",".","https://twitter.com/PabloLemusN/status/1707116629887156284/photo/1","https://pbs.twimg.com/media/F7Dlgr4WAAAChoz?format=jpg&name=small","1","4","23","https://twitter.com/PabloLemusN/status/1707116629887156284/analytics","781","","","https://twitter.com/PabloLemusN/status/1707116629887156284/photo/2","https://pbs.twimg.com/media/F7DlhKhXcAAMtMJ?format=jpg&name=360x360","https://twitter.com/PabloLemusN/status/1707116629887156284/photo/3","https://pbs.twimg.com/media/F7DlhlYW0AAtqzv?format=jpg&name=360x360","","#CentroHistórico","","","","","","https://twitter.com/hashtag/CentroHist%C3%B3rico?src=hashtag_click","",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","https://twitter.com/PabloLemusN","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1707116673709334635","27 sept.","Queremos garantizar que las personas con discapacidad puedan disfrutar de la ciudad y sus atractivos de manera segura, digna y con servicios de calidad, aquella que todas y todos podamos disfrutar, caminar, divertirnos y vivir plenamente. ¡Ánimo,","","!","","https://pbs.twimg.com/media/F7DljXzWYAATTq5?format=jpg&name=small","","3","18","https://twitter.com/hashtag/Guadalajara?src=hashtag_click","693","","","https://twitter.com/PabloLemusN/status/1707116673709334635/photo/1","https://pbs.twimg.com/media/F7Dljv7XMAAD43Q?format=jpg&name=360x360","https://twitter.com/PabloLemusN/status/1707116673709334635/analytics","https://pbs.twimg.com/media/F7DlkG5XkAATnwE?format=jpg&name=360x360","","#Guadalajara","","","https://twitter.com/PabloLemusN/status/1707116673709334635/photo/2","","https://twitter.com/PabloLemusN/status/1707116673709334635/photo/3","","",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","https://twitter.com/PabloLemusN","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1707093277093015902","27 sept.","Muchas felicidades","https://abs-0.twimg.com/emoji/v2/svg/1f973.svg","Ingeniero","https://twitter.com/DavidZamoraB","https://pbs.twimg.com/media/F7DQRAUXIAITrC0?format=jpg&name=360x360","por tu cumpleaños, contigo he tenido la oportunidad de hacer equipo desde que estábamos en Zapopan, en donde realizamos grandes proyectos, que hoy son un legado.

Te envío un fuerte abrazo. ¡Ánimo!","4","6","","1.711","https://abs-0.twimg.com/emoji/v2/svg/1f389.svg","","https://twitter.com/PabloLemusN/status/1707093277093015902/photo/1","https://pbs.twimg.com/media/F7DQRnmWEAA4ylT?format=jpg&name=360x360","https://twitter.com/PabloLemusN/status/1707093277093015902/analytics","https://pbs.twimg.com/media/F7DQSLUW0AABFxJ?format=jpg&name=360x360","@DavidZamoraB","","","","https://twitter.com/PabloLemusN/status/1707093277093015902/photo/2","","https://twitter.com/PabloLemusN/status/1707093277093015902/photo/3","","39",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","https://twitter.com/PabloLemusN","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1707050273720381440","27 sept.","Me dio mucho gusto saludar a Iván Chávez, un gran amigo y operador político.
Hemos hecho equipo desde hace tiempo en Zapopan y vamos a seguir trabajando juntos.
¡Ánimo!","","","","https://pbs.twimg.com/media/F7CpLYpXQAENPtQ?format=jpg&name=small","","42","9","","16,3 mil","","","https://twitter.com/PabloLemusN/status/1707050273720381440/photo/1","","https://twitter.com/PabloLemusN/status/1707050273720381440/analytics","","","","","","","","","","116",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","https://twitter.com/PabloLemusN","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1706863182889816114","26 sept.","Qué gusto","https://abs-0.twimg.com/emoji/v2/svg/1f603.svg","volver al oriente de la ciudad para celebrar","https://twitter.com/PabloLemusN/status/1706863182889816114/photo/1","https://pbs.twimg.com/media/F6__A2cWoAAYPOW?format=jpg&name=small","5","3","48","https://twitter.com/PabloLemusN/status/1706863182889816114/analytics","2.536","https://abs-0.twimg.com/emoji/v2/svg/1f389.svg","los 50 años del Mercado de La Copa y la fundación de la colonia Miguel Hidalgo, entregando la reinauguración de este legendario mercado.","https://twitter.com/PabloLemusN/status/1706863182889816114/photo/2","https://pbs.twimg.com/media/F6__BCEWQAALS8c?format=jpg&name=360x360","https://twitter.com/PabloLemusN/status/1706863182889816114/photo/3","https://pbs.twimg.com/media/F6__BOoXMAAQo3Q?format=jpg&name=360x360","","","","","","","","","",""
"https://twitter.com/i/status/1706863182889816114","","","Mostrar más respuestas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","https://twitter.com/PabloLemusN","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1706865113897062701","26 sept.","Estamos cumpliendo la promesa que le hicimos a las y los locatarios, además, le estamos apostando a fortalecer la economía barrial y familiar, pero sobre todo, respetando la arquitectura emblemática del Mercado de la Copa.","","","https://twitter.com/PabloLemusN/status/1706865113897062701/photo/1","https://pbs.twimg.com/media/F7AAxqLXoAAq7DM?format=jpg&name=small","1","3","22","https://twitter.com/PabloLemusN/status/1706865113897062701/analytics","878","","","","","","","","","","","","","","","",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","https://twitter.com/PabloLemusN","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1706865505108152722","26 sept.","Mi agradecimiento","https://abs-0.twimg.com/emoji/v2/svg/1f64f.svg","a los locatarios y los vecinos por su paciencia, cuando trabajamos en equipo, a todas y todos nos va mejor.","https://twitter.com/PabloLemusN/status/1706865505108152722/photo/2","https://pbs.twimg.com/media/F7ABINhW0AAXRd8?format=jpg&name=small","¡Ánimo,","3","17","https://twitter.com/hashtag/Guadalajara?src=hashtag_click","788","https://abs-0.twimg.com/emoji/v2/svg/1f389.svg","!","https://twitter.com/PabloLemusN/status/1706865505108152722/photo/1","https://pbs.twimg.com/media/F7ABIb5XoAAMXaN?format=jpg&name=small","https://twitter.com/PabloLemusN/status/1706865505108152722/analytics","","","#Guadalajara","","","","","","","",""
"https://twitter.com/muralcom","https://pbs.twimg.com/profile_images/912810599859421184/hINJcOGE_normal.jpg","https://twitter.com/muralcom","mural.com","@muralcom","·","https://twitter.com/muralcom/status/1706812392439476317","26 sept.","Tres presuntos miembros de una banda dedicada a robar a comensales en Providencia fueron detenidos tras una persecución","","mural.com.mx","https://t.co/hyq8kMxJhT","https://pbs.twimg.com/card_img/1711906897593253889/I2i5Z563?format=jpg&name=small","","1","4","","1.796","","","","","https://twitter.com/muralcom/status/1706812392439476317/analytics","","","","","reposteado","","","","","22","Pablo Lemus Navarro"
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","https://twitter.com/PabloLemusN","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1706501337213534330","25 sept.","Hoy mi amiga y Senadora de Jalisco","https://abs-0.twimg.com/emoji/v2/svg/1f4fd.svg","nos presentó un documental","https://twitter.com/PabloLemusN/status/1706501337213534330/photo/1","https://pbs.twimg.com/media/F6617EzXYAA4NHO?format=jpg&name=small","49","18","135","https://twitter.com/PabloLemusN/status/1706501337213534330/analytics","9.935","","titulado ""Lo que Soñamos"". 

Un documental que habla sobre Guadalajara y los cambios  que han determinado la identidad de las y los tapatíos en los últimos años.","","","","","@VeroDelgadilloG","","y 3 más","Verónica Delgadillo","","","https://twitter.com/VeroDelgadilloG","https://twitter.com/PabloLemusN/status/1706501337213534330/media_tags","",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","https://twitter.com/PabloLemusN","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1706501353130852375","25 sept.","Muchas felicidades,","",", es un gusto hacer equipo por","https://twitter.com/VeroDelgadilloG","https://pbs.twimg.com/media/F6617a3XsAAEocz?format=jpg&name=small","y por","1","3","https://twitter.com/hashtag/Guadalajara?src=hashtag_click","1.221","",". ¡Ánimo!","https://twitter.com/PabloLemusN/status/1706501353130852375/photo/1","https://pbs.twimg.com/media/F6617n7WoAA-Ajk?format=jpg&name=360x360","https://twitter.com/PabloLemusN/status/1706501353130852375/analytics","https://pbs.twimg.com/media/F6617zAWAAAz-6L?format=jpg&name=360x360","@VeroDelgadilloG","#Guadalajara","y 2 más","Verónica Delgadillo","https://twitter.com/PabloLemusN/status/1706501353130852375/photo/2","https://pbs.twimg.com/media/F6617_wXAAEz8C_?format=jpg&name=360x360","https://twitter.com/PabloLemusN/status/1706501353130852375/photo/3","https://twitter.com/PabloLemusN/status/1706501353130852375/photo/4","21",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","https://twitter.com/PabloLemusN","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1706417155774800053","25 sept.","El desarrollo de inteligencia policial desde el C5 ha dado paso a grandes avances en la seguridad de Guadalajara. En colaboración con la","https://abs-0.twimg.com/emoji/v2/svg/1f3a5.svg",", la","https://twitter.com/nmasguadalajara","","10","8","55","https://twitter.com/PabloLemusN/status/1706417155774800053/analytics","2.455","",", logró la detención de seis presuntos integrantes de una peligrosa banda de roba tráiler.","","","","","@FiscaliaJal","@PoliciaGDL","2:54","","","","https://twitter.com/FiscaliaJal","","",""
"https://twitter.com/PabloLemusN","https://pbs.twimg.com/profile_images/1639268929070682114/8P5S_G2g_normal.jpg","https://twitter.com/PabloLemusN","Pablo Lemus Navarro","@PabloLemusN","·","https://twitter.com/PabloLemusN/status/1706417660592791788","25 sept.","Además aseguraron una bodega repleta de mercancía del ilícito. 

Estamos comprometidos con la seguridad de las y los tapatíos y no descansaremos hasta recuperar la tranquilidad de nuestras familias.","","","","","","2","2","","695","","","","","https://twitter.com/PabloLemusN/status/1706417660592791788/analytics","","","","","","","","","","16",""
