texto,fecha,emocion
Estamos con usted Dr. Carlos Lomelí Bolaños Jalisco está convencido que es el indicado,,approval
"honor al lema del partido que representa: NO MENTIR, NO ROBAR Y NO TRAICIONAR. HASTA LIBERAR A JALISCO DR. LIDERAZO MAGISTERIAL CON USTED.",,neutral
Dr. Carlos Lomelí Bolaños si puede,,neutral
Hasta la victoria siempre,,neutral
Vamos todos unidos por la 4ta Transformación de nuestro Estado unidos todos con el Doctor Carlos Lomeli,,approval
En el salto y todo Jalisco confiamos en usted Dr. Lomelí,,approval
Jalisco muy a Doc 🙌🏻🙌🏻,,neutral
"Estuvimos presente en la cordial invitación del salto , tonala en apoyo del Doc.Carlos Lomelí Bolaños",,neutral
Vamos juntos avanzando con la mejor opción Dr. Carlos Lomelí Bolaños,,approval
Dr lomelí esperemos que defendamos el voto porque aquí en Jalisco estamos compitiendo con políticos que todavía son muy muy muy ud sabe y entiende,,optimism
mi futuro gobernador animooo si se puede saludos desde poncitlan,,neutral
Cada día somos más con el doctor Lomeli gobernador juntos por Jalisco,,neutral
El pueblo de jalisco asta con usted doctor,,neutral
El salto ocupa un cambio verdadero para que llegue la cuenta transformación,,neutral
"Los principios y la lucha morenista en Jalisco están bien representados en Carlos Lomelí
Los días avanzan y el morenismo también",,neutral
"Es momento de Jalisco, es el momento del Dr. Carlos Lomelí Bolaños y la 4T.",,neutral
"Mi futuro Gobernador de Jalisco, Dr. Carlos Lomeli y mi futuro presidente de Ayutla, Javier Sanchez Campos desde acá de la sierra se les apoya , vamos con todo, éxito ..",,approval
MG LH,,surprise
Tlaquepaque y Jalisco son 4T,,neutral
Todo el Apoyo Dr. Carlos Lomelí si se puede,,caring
Elvis Bravo,,neutral
Por el Salto y Jalisco Morena Si Dr Lomeli Nuestro Próximo Gobernador,,neutral
Morena jamás entrará en jalisco,29/10/2023 10:00,neutral
"Dr.Carlos Lomelí nuestro próximo Gobernador,,,,p
or favor no la volvamos a regar.",,neutral
"Tonalá también es 4T
Vamos con todo.",,approval
Todo el apoyo al Dr. Carlos Lomelí Bolaños distrito 19 cd guzman jalisco,,neutral
cómo siempre en todo está animooo,,joy
Unidos todos con el Doctor Carlos Lomeli para lograr la 4ta Transformación para nuestro Estado,,excitement
Los hechos valen más que las palabras y confiamos en el Dr.Carlos Lomelí por un cambio verdadero,,approval
Así debe ser. La palabra es la palabra. Excelente doc.,,admiration
"CUIDEMOS NUESTRO VOTÓ. INDEPENDIENTEME
NTE DE PARTIDO. NECESITAMOS UNA PERSONA CON HONESTIDAD CONSIGOMISMO.",,desire
Por una persona humana real y de principios todo con el Dr Carlos Lomeli,,neutral
"Universitario de nuestra casa de estudio, la universidad de Guadalajara. Que mejor que un gobernante que conoce las condiciones educativas de las escuelas públicas.",,admiration
👍👏,,curiosity
"5to Distrito con nuestro futuro Gobernador, creemos en usted un hombre integro que sabe lo que Jalisco necesita",,optimism
Todo mi apoyo para el Doctor Lomeli,,caring
Todo el apoyo al Dr. Carlos Lomelí Bolaños saludos desde Puerto Vallarta,,neutral
a darle con todo y asta cumplir el objetivo animooooo si se puede saludos desde poncitlan,,joy
Es tiempo de grandes usted es muy grande bendiciones,,admiration
Saludos 🤗 desde Villa Hidalgo!,,joy
Claro qué sí Doctor todo ese esfuerzo será premiado,,admiration
Excelente,,admiration
Animo adelante con el mejor Carlos Lomelí,,neutral
San Martín de las Flores apoya a doctor Carlos Lomeli!!!!,,neutral
VIVA LA 4T DR.LOMELI MI VOTO PARA USTED Y MORENA PRÓXIMO GOBERNADOR DE JALISCO,,neutral
El progreso de Jalisco está cercas y yo voy con el amigo de Jalisco mi gran amigo Doctor Carlos Lomelí claro que sí si si yes yes yes saludos desde Ahualulco Jalisco... Rafael kdns 👑💯💪,,neutral
A poyo total al doctor Lomeli gobernador,,neutral
Saludos x el bien de todos todos con morena no mas mentiras todos con lomeli,,approval
"Todo mi apoyo para usted, Dr. Lomeli.
Es el hombre más leal y de convicciones por darle vida y dignidad a Jalisco.",,caring
Excelente trayectoria en Morena Si por Jalisco Dr Lomeli Nuestro Próximo Gobernador,,admiration
Rita Maria,,neutral
TODO EL APOYO DR. LOMELÍ.,,neutral
"Con mucho entusiasmo para liberar a Jalisco de falsos gobernantes, juntos por la 4a transformación Dr Lomelí, mi voto es para UD y MORENA 💯 x 💯",,approval
Y SI DR. LOMELÍ TODO JALISCO CON USTED Y MORENA FUERA MOVIMIENTO CIUDADANO DE JALISCO QUE CREN QUE ROBAR AL PUEBLO ES TRABAJAR.,,neutral
OJALA Y NO PACTEN LA GOBERNATURA Y DEJARLE A MOVIMIENTO CIUDADANO QUE SE IMPONGA PONIENDO A LEMUS O A ZAMORA JALISCO NO QUIERE SABER NADA DE MOVIMIENTO CIUDADANO LOS QUE CREN QUE TRABAJAR ES ROBAR A JALISCO,,optimism
Seguimos avanzando con el doctor Lomeli gobernador juntos por Jalisco,,approval
Muchas felicidades para usted Dr. Carlos Lomelí Bolaños todo el apoyo del distrito 19 cd guzman,,gratitude
a darle con todo y hasta cumplir el objetivo animooooo si se puede saludos desde poncitlan Jalisco,,joy
Vemos cada día más personas convencidas qué usted es la persona indicada para ser nuestro gobernador,,neutral
Felicidades para nuestro próximo gobernador,,excitement
La gente de lagunitas en San Agustín Tlajomulco encantada con el carisma y sencillez de nuestro próximo coordinador de los trabajos de la 4 T en Jalisco.,,admiration
"Lo va a lograr Doctor, es necesario y urgente el cambio en Jalisco!",,optimism
"Fan destacado
Teresa Arredondo",,neutral
Por Tlajomulco y Jalisco Morena Si Dr Lomeli Nuestro Próximo Gobernador,,neutral
"Muy bien dr lomeli, próximo gober",,admiration
Saludos mi estimado Carlitos,29/10/2023 05:00,excitement
Gracias a sus sueños a llegado asu límite para ayudar y apoyar a su pueblo Dr Carlos Lomelí,,gratitude
El compromiso Vamos con todo doctor por un Jalisco mejor con la cuarta transformación y vamos con morena y con usted agarrados de la mano para la transformación de Jalisco,,neutral
a darle con todo y asta cumplir el objetivo animooooo mi doc mi futuro gobernador saludos desde poncitlan,,joy
Adelante con el Dr Lomeli y la 4T 👍👍👏👏,29/10/2023 23:48,neutral
La mejor opción para Jalisco Dr Dr. Carlos Lomelí Bolaños,29/10/2023 03:00,approval
"Con Ud Dr Lomeli seguro llegará el movimiento de transformación de la 4T y Morena, qué tanto deceamos para Jalisco. 👍👏👏",29/10/2023 06:00,approval
Saludos Dr Carlos Lomelí Bolaños desde Ocotlán Jalisco.,,neutral
Así será siempre pa adelante,29/10/2023 05:00,neutral
Por Jalisco Morena Si la 4T está por llegar Dr Lomeli Nuestro Próximo Gobernador,,neutral
👏👏👍,29/10/2023 02:00,curiosity
DR CARLOS LOMELI quiero felicitarlo por la lavor qué está haciendo estamos con ustedes nosotros estamos apoyando ha Alberto Alfaro somos líderes de la colonia artesanos de. Parte de marco Antonio y el a cazarez,,caring
"Sin lugar a dudas , no hay , no existe , ni habrá mejor opción para nuestro maravilloso estado de Jalisco que usted mi Doc ,, Dr. Carlos Lomelí Bolaños cuenta con nuestro apoyo total y confianza...",29/10/2023 05:00,admiration
Ahora sí que no nos queda la menor duda que el Doctor Carlos Lomelí va a ser el próximo candidato a gobernador por Jalisco,,optimism
"El Dr Carlos Lomelí es el único qué puede desplazar a éstos pillos naranjas.
Ánimo Dr !!",,neutral
Hay le encargo a cihualtan estamos olvidados x nuestras autoridades,29/10/2023 09:00,realization
"Felicidades por su segundo informe a mi estimada Diputada. No pude estar presente porque nos hemos solidarizado con las personas que sufrieron daños en el municipio y andamos atareados, pero mis felicitaciones mis mejores vibras desde Cihuatlán, Jalisco.",,gratitude
Excelente trabajo,,admiration
"Felicitaciones a la compañera Maria Padilla, por su destacado desempeño como legisladora",,admiration
Felicidades todo por Jalisco Morena Si Dr Lomeli Nuestro Próximo Gobernador,,neutral
Muchas felicidades diputada,,joy
mi doc en todo está animooo mi futuro gobernador,,optimism
El doctor Carlos Lomeli comprometido con las causas femeninas y la igualdad,,approval
Por las Mujeres y niñas de Jalisco Morena Si Dr Lomeli Nuestro Próximo Gobernador,,neutral
Dr Carlos Lomelí estamos en Zapopan en poblado de la primavera y somos muchas personas que ya queremos un cambio verdadero y estamos con Morena haber cuando nos visitan gracias,29/10/2023 19:00,gratitude
Seguimos adelante,,neutral
Seguimos avanzando con el doctor Lomeli gobernador,,neutral
Lo invitamos a que nos visite a puente grande de parte comite vesinal por puente grande así estamos en fase book para que alguno de sus colaboradores nos contacte y nos den una cita so.os alrededor de 30 miembros,,neutral
Mi 🐓🐓🐓🐓🐓🐓🐓🐓 es el doc lomeli mi futuro gobernador con toda la actitud,,desire
DOC. SI PUEDE.,,neutral
Aguas frescas ricas Eli,,neutral
La respuesta para Jalisco es Lomelí,,neutral
🇲🇽💯👍,,approval
Todo Jalisco conoce al Dr. Lomeli y sabemos que él es el mejor para regir los destinos de este bello Estado.,,admiration
"Tlaquepaque y Jalisco son 4T
Felicidades Dr.",,excitement
Dr. Carlos Lomelí próximo coordinador de la 4T,,neutral
"distrito 19 estamos con el Doc, Si se Puede y en la Encuesta el Dr Carlos LOMELI es la Respuesta, Saludos cordiales",,neutral
"Así debe ser Dr. Carlos predicar con humildad, sencilles, constancia, compromiso y cumplir más que nada",,neutral
Todo el Apoyo Dr.Carlos Lomelí por un cambio verdadero,,approval
Estamos con usted doctor Lomeli juntos por Jalisco lograremos un cambio,,approval
Dios le bendiga Dr Lomeli saludos un abrazo afectuoso,,caring
Qué así sea Tocayo la honestidad y humildad por delante animó.,,admiration
Así es Dr. Lomelí a seguir adelante. Por que queremos un cambio verdadero para Jalisco. Saludos,,desire
"El doctor Carlos Lomeli, honesto y congruente, un luchador social",,neutral
"Y el pueblo de Jalisco, lo acompañará!",,neutral
Buenas tardes Ánimo,,gratitude
Vamos con todo con Dr. Carlos Lomelí Bolaños,,neutral
ESA FOTO DICE TODO MI DOC CAMINANDO AL GOBIERNO DE JALUSCO FELICIDADES,,gratitude
mi futuro gobernador aaaa darle con todo y hasta cumplir el objetivo animooooo saludos desde poncitlan,,neutral
Jalisco por el Dr. Lomelí. Viva 4 T,,neutral
Por ese Camino hasta Palacio de Gobierno Morena Si por Jalisco Dr Lomeli Nuestro Próximo Gobernador,,neutral
Saludos doc. Hay le encargo a cihualtan,,excitement
Elvis Bravo,,neutral
"Fan destacado
Teresa Arredondo",,neutral
👍,,curiosity
Muchas felicidades animó,,joy
Felicidades Doctor 🎉,,excitement
"Fan destacado
Jose Gregorio Iturralde Torres",29/10/2023 03:00,neutral
Dios bendiga a los trabajadores de la Salud profesión que sabemos es la más noble de todas Felicidades en su Día 💯💪🏻🩺,,caring
"Muchas felicidades a todas, todos quienes ejercen tan noble y necesaria profesión, seguro estoy que los médicos y médicas de #Jalisco, en nuestro amigo el Dr. Carlos Lomelí Bolaños encontrarán, empatía, diálogo y responsabilidad
. Abrazos!",,gratitude
Muchas felicidades a todos los doctores ( a ) que tengan un lindo día,,joy
Feliz día del Médico. Vamos por Jalisco Dr Lomeli Nuestro Próximo Gobernador,,neutral
Para nada.,,disapproval
El Distrito 19 estamos con el dr Carlos LOMELI Si se Puede y en la Encuesta Es la Respuesta,23/10/2023 00:00,neutral
"En Cihuatlán Si puede el Dr. Carlos Lomelí, la transformación llega a Jalisco.",23/10/2023 00:00,neutral
Lo único que le falta doc. es ser gobernador del estado de JALUSCO ya le toca a mascota y sus rumbos saludos,23/10/2023 00:00,sadness
"Y por Guadalajara ni se diga estamos con Ud Dr Lomeli, sé le espera con todo cariño, cómo la persona honesta y trabajadora qué es 👍👋 vi a la Transformación y la 4T.

se diga",23/10/2023 00:00,love
el es mi 🐓🐓🐓🐓🐓🐓 ay vamos paso aaaa pasito pero seguros animooooo si se puede saludos desde poncitlan jalisco,23/10/2023 00:00,joy
Todo el Apoyo para el Dr. Carlos Lomelí si se puede,23/10/2023 00:00,caring
Cada día sumando más voluntades hacia la transformación,23/10/2023 00:00,approval
Saludos acuérdense de cihuatlan todos con morena no mas mentiras todos con lomeli x el bien de jalisco y cihuatlan,23/10/2023 00:00,neutral
"Doctor una pregunta muy importante para los ciudadanos de Jalisco. Que sucede con el sector salud, es un tema consideró para su campaña.",23/10/2023 00:00,neutral
Ahuatlan presente apoyando con todo al doctor Carlos Lomeli,23/10/2023 00:00,neutral
Tienen todo el apoyo del Dr. Carlos Lomelí Bolaños saludos del distrito 19 cd guzman,23/10/2023 00:00,neutral
Nuestro próximo gobernador de Jalisco va a ser el Doctor Carlos Lomelí y no se olviden que la encuesta el doctor Lomelí es la respuesta,23/10/2023 00:00,neutral
Ya es tiempo de un convenio y la mejor opción es el doctor Lomeli,23/10/2023 00:00,neutral
Provecho doctor que dios lo cuide y lo bendiga donde quiera que se encuentre saludos!!!!!,23/10/2023 00:00,caring
Buen provecho saludos,23/10/2023 00:00,joy
"Consejo, un buen micro para sus redes, saludos 🤟🏻",23/10/2023 00:00,caring
Vamos con todo por la 4aT Jal.y Tlaj.con Ud.Dr.Lomeli🇲🇽💯👍,23/10/2023 00:00,neutral
"Ojalá pongan a otro para Jalisco con Morena
Por qué yo quiero votar por Morena pero no por ti",23/10/2023 00:00,confusion
Saludos amigo mucho exito y provechito !!,23/10/2023 00:00,joy
Estamos alá orden Dr Carlos Lomelí aquí andamos con el Zapato y puro Ameca Jalisco,23/10/2023 00:00,neutral
Saludos.,23/10/2023 00:00,admiration
"👍 provecho 😋🤤 dr, saludos",23/10/2023 00:00,joy
"Saludos cordiales Dr Carlos Lomeli, provecho",,neutral
Delia Gutierrez,,neutral
"#OrgulloMexicano. .

Es un placer estar con la 4T , nosotros los mexicanos ya sabemos por quién iremos este 2024, seis de seis con morena✌🏼👏🏼👏🏼
🇲🇽¡¡¡Viva México!!!🇲🇽",23/10/2023 00:00,approval
"Otro Aferrado, no entiende que en Jalisco no lo queremos, solo su mesías lo toma en cuenta y por los negocios que hacen.",,neutral
Todo mi apoyo 👏🏻👏🏻👏🏻👏🏻,23/10/2023 00:00,caring
Dr.carlos lomeli Bolaños Comprometete a quitar los vereficentros negocio de alfarin canallin,,neutral
Mmmm ya empezó con sus giras jaja...,29/10/2023 05:00,amusement
Estamos con usted Dr.lomeli exito,29/10/2023 09:00,neutral
Cada día crese más la hola de juntos por Jalisco con el doctor Lomeli gobernador y el profe julio en Ocotlán,23/10/2023 00:00,neutral
Vamos con todo Dr Carlos,23/10/2023 00:00,neutral
"Muy bien Dr, próximo gobernador 👍",,admiration
Vamos dr Lomelí vamos con todo. Muchas bendiciones,,gratitude
Dr.Carlos Lomelí el cambio verdadero que necesita Jalisco,23/10/2023 00:00,neutral
Sin dudarlo el Dr Lomeli nuestro próximo gobernador de Jalisco!!!!,29/10/2023 10:00,neutral
"El doctor Carlos Lomeli, es congruente así lo demuestra su historia de vida",23/10/2023 00:00,neutral
Vamos con todo próximo gobernador Dr Carlos Lomelí 💪,23/10/2023 00:00,neutral
Esperó me voltie aver yo voy hacer un buen elemento para trabajar en campo,23/10/2023 00:00,approval
Saludos Dr Lomeli arriva y adelante con morena y la 4t.,23/10/2023 00:00,neutral
"Usted es el mejor para regir los destinos de esta estado, Dr. Carlos Lomelí Bolaños .
Desde nuestra trinchera estamos con usted para apoyarlo a encabezar la coordinación de la defensa de los comités de la 4T.
Equipo del Regidor Alejandro Buenrostro presente.",23/10/2023 00:00,admiration
"Felicidades!!Dr
.Carlos Lomelí.Saludos",23/10/2023 00:00,gratitude
Muchas Felicidades Dr. Todo Jalisco es 4T,23/10/2023 00:00,excitement
mi 🐓🐓🐓🐓🐓🐓 es el doc lomeli ay vamos paso aaaaa pasito pero seguro animooooo saludos desde poncitlan,23/10/2023 00:00,excitement
Y estamos trabajando ya en calles ablando de usted porque esta ves nadie nos para,23/10/2023 00:00,neutral
Y los próximos 6 años serán los más importantes. Vamos con el Dr. Carlos Lomelí Bolaños,23/10/2023 00:00,excitement
"Fan destacado
Simon Mireles",23/10/2023 00:00,neutral
Estamos con usted Dr Carlos Lomelí sabemos que será nuestro próximo Gobernador!,23/10/2023 00:00,optimism
Por Jalisco Dr Lomeli Nuestro Próximo Gobernador,,neutral
En tortas Briseño x por el peri le da un toke especial los frijolitos carnita adoba especial y las salsas inigualables la neta,23/10/2023 00:00,neutral
"Las tortas ahogadas del ""matador"": con más de 30 años ubicadas en calle Chimborazo,casi
esquina con Belisario Domínguez... ¡Riquísimas!",23/10/2023 00:00,admiration
En tonala las de avenida rancho la cruz el birote muy rico y sus salsa y chile muy bien sazonado,23/10/2023 00:00,neutral
"Las famosas, las chago y las del ranger en santa Anita 😎",23/10/2023 00:00,annoyance
"En mi opinión personal y para quienes vivimos par el sur las tortas ahogadas Wada y sus exquisitos tacos enrollados de carne y de requesón no tienen comparación WADA están por la plaza cívica de miravalle el chile como pocos la salsa exquisita y a eso agrégale cebolla natural, cebolla con habanero y pepino y cebolla con mango y habanero hacen l gran diferencia",23/10/2023 00:00,neutral
"Las de chachis en colonia auditorio , riquísimas, no muy condimentadas
Carnitas y bolillo de Atemajac.",23/10/2023 00:00,neutral
