"css-901oao","css-4rbku5 href","css-9pa8cd src","css-4rbku5 href 2","css-901oao 2","css-901oao 3","css-901oao 4","css-4rbku5 href 4","css-4rbku5","css-901oao 5","css-4rbku5 href 5","css-9pa8cd src 2","css-901oao 6","css-901oao 7","css-901oao 8","css-901oao 9","css-4rbku5 href 7","css-901oao 10","css-4rbku5 2","css-4rbku5 href 8","css-901oao 11","r-1p0dtai src","css-4rbku5 5","css-4rbku5 href 10","css-4rbku5 href 11","css-9pa8cd src 3","css-9pa8cd src 4"
"","https://twitter.com/sasildeleon","https://pbs.twimg.com/profile_images/1633306024345055232/AClmGVBa_normal.jpg","https://twitter.com/sasildeleon","Sasil de León","@sasildeleon","·","https://twitter.com/sasildeleon/status/1703829270546510209","18 sept.","En el marco de acciones por el Día Internacional de la Mujer Indígena, que en Chiapas encabeza el gobernador Rutilio Escandón Cadenas, reconozco la labor disciplinada y amorosa de las mujeres en México, particularmente las indígenas de Chiapas, mi casa, para el que trabajamos…","https://twitter.com/sasildeleon/status/1703829270546510209/photo/1","https://pbs.twimg.com/media/F6U3sD1W8AAbvyS?format=jpg&name=small","","1","11","","https://twitter.com/sasildeleon/status/1703829270546510209/analytics","689","","","Mostrar más","","","","","",""
"","https://twitter.com/sasildeleon","https://pbs.twimg.com/profile_images/1633306024345055232/AClmGVBa_normal.jpg","https://twitter.com/sasildeleon","Sasil de León","@sasildeleon","·","https://twitter.com/sasildeleon/status/1703085117369876887","16 sept.","Lamento profundamente el sensible fallecimiento de Mariano Rosales, hijo de nuestro amigo, Mariano Rosales Zuarth, mi más sincero pésame a todos sus seres queridos.

Que el amor de Dios y el cariño de todos quienes conocimos a Mariano sirva para encontrar la resignación ante tan…","https://twitter.com/sasildeleon/status/1703085117369876887/photo/1","https://pbs.twimg.com/media/F6KS4mBXcAA8nq5?format=jpg&name=900x900","","3","4","10","https://twitter.com/sasildeleon/status/1703085117369876887/analytics","1.471","","","Mostrar más","","","","","",""
"","https://twitter.com/lopezobrador_","https://pbs.twimg.com/profile_images/1433234061691084800/8TUii2rl_normal.jpg","https://twitter.com/lopezobrador_","Andrés Manuel","@lopezobrador_","·","https://twitter.com/lopezobrador_/status/1702931636546163074","16 sept.","Mexicanas, mexicanos: 

¡Viva la Independencia! 
¡Viva Miguel Hidalgo y Costilla!
¡Viva Josefa Ortiz de Domínguez! 
¡Viva Ignacio Allende!
¡Viva Leona Vicario!
¡Viva José María Morelos y Pavón!
¡Viva Vicente Guerrero!
¡Vivan los héroes anónimos!
¡Viva la libertad!
¡Viva la…","https://twitter.com/lopezobrador_/status/1702931636546163074/photo/1","https://pbs.twimg.com/media/F6IHDlybAAACcQi?format=jpg&name=small","48,7 mil","5.098","11,1 mil","","https://twitter.com/lopezobrador_/status/1702931636546163074/analytics","2,3 M","","","Mostrar más","","","","https://twitter.com/lopezobrador_/status/1702931636546163074/photo/2","https://pbs.twimg.com/media/F6IHDmEa4AAk8qV?format=jpg&name=small",""
"Gina Diez Barroso","https://twitter.com/ginadiezbarroso","https://pbs.twimg.com/profile_images/1462550507793362947/A42BDpo3_normal.jpg","https://twitter.com/ginadiezbarroso","@ginadiezbarroso","Conflict is inevitable…. But combat is optional.
                 - Max Lucado-","2","https://twitter.com/ginadiezbarroso/status/1702118526322905171/analytics","","20","","","166","10,7 mil","Promocionado","","","","","","","","","","","",""
"para dar el","https://twitter.com/sasildeleon","https://pbs.twimg.com/profile_images/1633306024345055232/AClmGVBa_normal.jpg","https://twitter.com/sasildeleon","Sasil de León","@sasildeleon","·","https://twitter.com/sasildeleon/status/1702942585709277189","16 sept.","Con el orgullo de ser mexicanos, acompañamos al gobernador","https://twitter.com/sasildeleon/status/1702942585709277189/photo/1","https://pbs.twimg.com/media/F6IRQCwXQAIhfHm?format=jpg&name=360x360","Carlos Molina","1","10","48","https://twitter.com/sasildeleon/status/1702942585709277189/analytics","1.212","#GritoDeIndependencia","https://twitter.com/hashtag/GritoDeIndependencia?src=hashtag_click","Mostrar más","","@RutilioEscandon","https://twitter.com/RutilioEscandon","https://twitter.com/sasildeleon/status/1702942585709277189/photo/2","https://pbs.twimg.com/media/F6IRQCwXYAAY6tK?format=jpg&name=360x360","https://pbs.twimg.com/media/F6IRQCvWUAEYHKa?format=jpg&name=360x360"
"","https://twitter.com/sasildeleon","https://pbs.twimg.com/profile_images/1633306024345055232/AClmGVBa_normal.jpg","https://twitter.com/sasildeleon","Sasil de León","@sasildeleon","·","https://twitter.com/sasildeleon/status/1702881932290269278","15 sept.","Hoy y siempre, portemos con dignidad y orgullo los colores y trajes de nuestro México. 
¡Que vivan nuestras fiestas patrias!","https://twitter.com/sasildeleon/status/1702881932290269278/photo/1","https://pbs.twimg.com/media/F6HaFYFXwAAz_Fm?format=jpg&name=360x360","","1","8","30","https://twitter.com/sasildeleon/status/1702881932290269278/analytics","886","","","","","","","https://twitter.com/sasildeleon/status/1702881932290269278/photo/2","https://pbs.twimg.com/media/F6HaFYDWsAAdp4q?format=jpg&name=360x360","https://pbs.twimg.com/media/F6HaFYEXkAATphS?format=jpg&name=360x360"
", con quien intercambié opiniones sobre los históricos acontecimientos de nuestra anexión a…","https://twitter.com/sasildeleon","https://pbs.twimg.com/profile_images/1633306024345055232/AClmGVBa_normal.jpg","https://twitter.com/sasildeleon","Sasil de León","@sasildeleon","·","https://twitter.com/sasildeleon/status/1702765883511148670","15 sept.","Previo a las celebraciones de la Noche Patria, tuve el gusto de saludar al principal dirigente de la Cuarta Transformación en nuestro estado, mi amigo el gobernador Dr.","https://twitter.com/sasildeleon/status/1702765883511148670/photo/1","https://pbs.twimg.com/media/F6FwizIWkAAobHM?format=jpg&name=small","","4","17","","https://twitter.com/sasildeleon/status/1702765883511148670/analytics","906","","","Mostrar más","","@RutilioEscandon","https://twitter.com/RutilioEscandon","","",""
"","https://twitter.com/lopezobrador_","https://pbs.twimg.com/profile_images/1433234061691084800/8TUii2rl_normal.jpg","https://twitter.com/lopezobrador_","Andrés Manuel","@lopezobrador_","·","https://twitter.com/lopezobrador_/status/1702739159180521510","15 sept.","Inauguración de El Insurgente, Tren Interurbano México-Toluca","https://twitter.com/i/broadcasts/1rmxPMLLvoLKN","https://pbs.twimg.com/card_img/1706518911443783680/_OyXZQe6?format=jpg&name=orig","Andrés Manuel","814","3.792","9.669","https://twitter.com/lopezobrador_/status/1702739159180521510/analytics","333,7 mil","","","@lopezobrador_","blob:https://twitter.com/ed01044d-6e9b-4ac9-b8ef-b356c2636211","","","","https://pbs.twimg.com/profile_images/1433234061691084800/8TUii2rl_mini.jpg",""
"","https://twitter.com/sasildeleon","https://pbs.twimg.com/profile_images/1633306024345055232/AClmGVBa_normal.jpg","https://twitter.com/sasildeleon","Sasil de León","@sasildeleon","·","https://twitter.com/sasildeleon/status/1701673796564832434","12 sept.","San Cristóbal es una parte fundamental de mi historia, en este Pueblo Mágico guardo momentos maravillosos como nuestra fiesta de XV años, una celebración muy especial para todas nosotras.","","https://pbs.twimg.com/amplify_video_thumb/1701673712959787008/img/DRLCFANRYLKlFum5.jpg","","2","3","13","https://twitter.com/sasildeleon/status/1701673796564832434/analytics","472","#LaGrandezaDeChiapas","https://twitter.com/hashtag/LaGrandezaDeChiapas?src=hashtag_click","","blob:https://twitter.com/b67d6cec-4635-4fbb-82bb-9739536d7d68","","","","",""
"por su primer año de gobierno en el que ha marcado la historia de Quintana Roo siendo la primera mujer en encabezar con sabiduría y gran corazón a este hermoso estado. 

¡Que sigan los éxitos, la transformación está en buenas manos…","https://twitter.com/sasildeleon","https://pbs.twimg.com/profile_images/1633306024345055232/AClmGVBa_normal.jpg","https://twitter.com/sasildeleon","Sasil de León","@sasildeleon","·","https://twitter.com/sasildeleon/status/1701378862385402142","11 sept.","Muchas felicidades a la gobernadora","https://twitter.com/sasildeleon/status/1701378862385402142/photo/1","https://pbs.twimg.com/media/F5yDDi7WUAAfYy7?format=jpg&name=360x360","","2","12","","https://twitter.com/sasildeleon/status/1701378862385402142/analytics","514","","","Mostrar más","","@MaraLezama","https://twitter.com/MaraLezama","https://twitter.com/sasildeleon/status/1701378862385402142/photo/2","https://pbs.twimg.com/media/F5yDDi5XgAA80jE?format=jpg&name=360x360","https://pbs.twimg.com/media/F5yDDi5W4AA3OYJ?format=jpg&name=360x360"
". Hablamos del fortalecimiento de la mujeres en Chiapas y su participación activa en la vida pública:","https://twitter.com/sasildeleon","https://pbs.twimg.com/profile_images/1633306024345055232/AClmGVBa_normal.jpg","https://twitter.com/sasildeleon","Sasil de León","@sasildeleon","·","https://twitter.com/sasildeleon/status/1701302690104353075","11 sept.","Les comparto la siguiente columna en la que colaboro para","https://twitter.com/sasildeleon/status/1701302690104353075/photo/1","https://pbs.twimg.com/media/F5w9xkkXAAAEh-2?format=jpg&name=360x360","","2","2","14","https://twitter.com/sasildeleon/status/1701302690104353075/analytics","374","","","https://","","@heraldodemexico","https://twitter.com/heraldodemexico","https://twitter.com/sasildeleon/status/1701302690104353075/photo/2","https://pbs.twimg.com/media/F5w9xkiWsAA4VqL?format=jpg&name=360x360","https://pbs.twimg.com/media/F5w9xkiWIAA9gRc?format=jpg&name=360x360"
"Sasil de León","https://twitter.com/sasildeleon","https://pbs.twimg.com/profile_images/1633306024345055232/AClmGVBa_normal.jpg","https://twitter.com/sasildeleon","@sasildeleon","·","Amigas y amigos de Chiapas, 

Estamos muy contentos porque nos encontramos en la Asamblea Nacional de Morena, donde en unos momentos más la Dra. Claudia Sheinbaum tomará protesta como Coordinadora de los Comités de Defensa de la Cuarta Transformación. 

Este es un momento…","https://twitter.com/sasildeleon/status/1700991140567367989","10 sept.","Mostrar más","https://twitter.com/sasildeleon/status/1700991140567367989/analytics","https://pbs.twimg.com/amplify_video_thumb/1700990894479183872/img/c8WxXBcqc86VFP8X.jpg","9","15","57","2.456","","","","","","blob:https://twitter.com/3b5e6e04-ee03-4b1d-9744-b457ebc387f8","","","","",""
"Enrique Mejía","https://twitter.com/EnriqueMevel","https://pbs.twimg.com/profile_images/1705440019748360192/Cd7MrR1q_normal.jpg","https://twitter.com/EnriqueMevel","@EnriqueMevel","·","Saludos desde Motozintla mi senadora","https://twitter.com/EnriqueMevel/status/1701058718622740681","10 sept.","","https://twitter.com/EnriqueMevel/status/1701058718622740681/analytics","","1","1","","189","","","","","","","","","","",""
"","https://twitter.com/sasildeleon","https://pbs.twimg.com/profile_images/1633306024345055232/AClmGVBa_normal.jpg","https://twitter.com/sasildeleon","Sasil de León","@sasildeleon","·","https://twitter.com/sasildeleon/status/1701251925440610542","11 sept.","¡Saludos!","","","","","","","https://twitter.com/sasildeleon/status/1701251925440610542/analytics","51","","","","","","","","",""
"//¡Tiempo de mujeres! Consolidación de la lucha por nuestra reivindicación política, dignidad y libertad
     Vía","https://twitter.com/hectorcasto53","https://pbs.twimg.com/profile_images/703264933035667456/JP0b742t_normal.jpg","https://twitter.com/hectorcasto53","Hector Castro Gallegos","@hectorcasto53","·","https://twitter.com/hectorcasto53/status/1701128460872434099","11 sept.","La columna de","https://t.co/jLxCkCUM4O","https://pbs.twimg.com/card_img/1706242129586954240/SSVNVtcE?format=jpg&name=small","heraldodemexico.com.mx","1","1","12","https://twitter.com/hectorcasto53/status/1701128460872434099/analytics","242","","","¡Tiempo de mujeres! Consolidación de la lucha por nuestra reivindicación política, dignidad y...","","@sasildeleon","https://twitter.com/sasildeleon","","",""
"","https://twitter.com/Claudiashein","https://pbs.twimg.com/profile_images/1658185823010066433/ADCtGM0f_normal.jpg","https://twitter.com/Claudiashein","Dra. Claudia Sheinbaum","@Claudiashein","·","https://twitter.com/Claudiashein/status/1701022929004482772","10 sept.","Recibí la constancia que me acredita como Coordinadora Nacional de los Comités para la Defensa de la Cuarta Transformación. 

¡Nuestro movimiento está más fuerte que nunca, no hay marcha atrás!","https://twitter.com/Claudiashein/status/1701022929004482772/photo/1","https://pbs.twimg.com/media/F5s_VaYawAAZV95?format=jpg&name=small","","1.412","3.759","12,7 mil","https://twitter.com/Claudiashein/status/1701022929004482772/analytics","301,2 mil","","","","","","","","",""
"| Mensaje al pueblo de México. | En compañía de la Dra....","https://twitter.com/Claudiashein","https://pbs.twimg.com/profile_images/1658185823010066433/ADCtGM0f_normal.jpg","https://twitter.com/Claudiashein","Dra. Claudia Sheinbaum","@Claudiashein","·","https://twitter.com/Claudiashein/status/1700966786194174172","10 sept.","Les invito a seguir la transmisión en vivo de la primera reunión del Consejo Nacional de Morena que encabezo como Coordinadora Nacional de Defensa de la Transformación. ¡Comenzamos!","","https://pbs.twimg.com/card_img/1706042410541678592/0dct6PzW?format=jpg&name=240x240","facebook.com","152","405","1.098","https://twitter.com/Claudiashein/status/1700966786194174172/analytics","30,4 mil","","","#EnVivo","","","","","",""
"","https://twitter.com/Claudiashein","https://pbs.twimg.com/profile_images/1658185823010066433/ADCtGM0f_normal.jpg","https://twitter.com/Claudiashein","Dra. Claudia Sheinbaum","@Claudiashein","·","https://twitter.com/Claudiashein/status/1700539769988448688","9 sept.","¡Somos un solo movimiento y un mismo sentimiento!
¡Somos esperanza que prevalece!
¡Somos amor y alegría!
¡Que viva la Cuarta Transformación!","","https://pbs.twimg.com/ext_tw_video_thumb/1700539439993221120/pu/img/3GhYwCzepNq_ORj6.jpg","","1.550","4.016","10,9 mil","https://twitter.com/Claudiashein/status/1700539769988448688/analytics","247,5 mil","","","","blob:https://twitter.com/a1efbdd5-260f-4517-bdf3-25743537ff0a","","","","",""
"","https://twitter.com/Claudiashein","https://pbs.twimg.com/profile_images/1658185823010066433/ADCtGM0f_normal.jpg","https://twitter.com/Claudiashein","Dra. Claudia Sheinbaum","@Claudiashein","·","https://twitter.com/Claudiashein/status/1700371889376375230","8 sept.","Gracias a un gran equipo. Ahora a trabajar en unidad con todas y todos los que somos parte de la transformación. Gracias a los presidentes de Morena, Partido Verde, a Gerardo y a Citlalli.","","https://pbs.twimg.com/amplify_video_thumb/1700371777329700864/img/hEnxCAVgVzR_edXJ.jpg","·","727","2.936","9.334","https://twitter.com/Claudiashein/status/1700371889376375230/analytics","233,7 mil","","","","blob:https://twitter.com/84590c78-e499-4099-8028-50ba06042754","","","","",""
", propuse en el","https://twitter.com/sasildeleon","https://pbs.twimg.com/profile_images/1633306024345055232/AClmGVBa_normal.jpg","https://twitter.com/sasildeleon","Sasil de León","@sasildeleon","·","https://twitter.com/sasildeleon/status/1700265532811825234","8 sept.","¡No más mujeres violentadas en sus comunidades!

En el marco del","https://twitter.com/sasildeleon/status/1700265532811825234/photo/1","https://pbs.twimg.com/media/F5iOfT7X0AEFpW_?format=jpg&name=small","","1","1","15","https://twitter.com/sasildeleon/status/1700265532811825234/analytics","384","#DíaInternacionalDeLaMujerIndígena","https://twitter.com/hashtag/D%C3%ADaInternacionalDeLaMujerInd%C3%ADgena?src=hashtag_click","Mostrar más","","@senadomexicano","https://twitter.com/senadomexicano","","",""
"Te sumas? 
Multiplica con RT","https://twitter.com/epigmenioibarra","https://pbs.twimg.com/profile_images/774064340278272000/yJ1R9OTd_normal.jpg","https://twitter.com/epigmenioibarra","epigmenio ibarra","@epigmenioibarra","·","https://twitter.com/epigmenioibarra/status/1699985709409485279","7 sept.","Que el país entero y el mundo sepan que aquí de manera pacífica, transparente y democrática se lucha por la justicia, contra la corrupción, por la transformación. Somos millones las y los mexicanos los que decimos:","https://twitter.com/epigmenioibarra/status/1699985709409485279/photo/1","https://pbs.twimg.com/media/F5eP_fIawAAo88P?format=jpg&name=small","8.957","2.704","4.191","","https://twitter.com/epigmenioibarra/status/1699985709409485279/analytics","296,7 mil","#EsUnHonorEstarConClaudiaYObrador","https://twitter.com/hashtag/EsUnHonorEstarConClaudiaYObrador?src=hashtag_click","","","","","","",""
"para coordinar los Comités de Defensa de la Transformación rumbo a 2024.

Digna defensora de los intereses de las y los mexicanos, siempre a la izquierda y comprometida con las causas justas, así","https://twitter.com/PartidoMorenaMx","https://pbs.twimg.com/profile_images/1675566112061247489/Exh0VeaH_normal.jpg","https://twitter.com/PartidoMorenaMx","Morena","@PartidoMorenaMx","·","https://twitter.com/PartidoMorenaMx/status/1699595650189664372","6 sept.","El pueblo sabio ha elegido a la compañera","https://twitter.com/PartidoMorenaMx/status/1699595650189664372/photo/1","https://pbs.twimg.com/media/F5YtOLbaIAAqVlJ?format=jpg&name=small","","8.071","8.681","20,2 mil","https://twitter.com/PartidoMorenaMx/status/1699595650189664372/analytics","1,2 M","#EsClaudia","https://twitter.com/hashtag/EsClaudia?src=hashtag_click","Mostrar más","","@Claudiashein","https://twitter.com/Claudiashein","","",""
"Dra. Claudia Sheinbaum","https://twitter.com/sasildeleon","https://pbs.twimg.com/profile_images/1633306024345055232/AClmGVBa_normal.jpg","https://twitter.com/sasildeleon","Sasil de León","@sasildeleon","·","https://twitter.com/sasildeleon/status/1699597476376752472","6 sept.","¡El tiempo de las mujeres ha llegado! 

Celebramos la decisión del pueblo mexicano con la victoria de la Dra. Claudia Sheinbaum en la encuesta Nacional. Hoy la paridad y el reconocimiento de nuestros derechos se consolidan para marcar la historia de nuestro país. 

¡Enhorabuena,…","https://twitter.com/sasildeleon/status/1699597476376752472/photo/1","https://pbs.twimg.com/media/F5Yu5T0WUAAeuD2?format=jpg&name=small","","5","23","51","https://twitter.com/sasildeleon/status/1699597476376752472/analytics","1.664","","","Mostrar más","","","","https://twitter.com/sasildeleon/status/1699597476376752472/media_tags","",""
"","https://twitter.com/sasildeleon","https://pbs.twimg.com/profile_images/1633306024345055232/AClmGVBa_normal.jpg","https://twitter.com/sasildeleon","Sasil de León","@sasildeleon","·","https://twitter.com/sasildeleon/status/1699554408193745097","6 sept.","Los resultados de la encuesta de Morena todavía no han sido publicados. Adelantar declaraciones o posiciones no contribuye a la unidad del movimiento. Confío plenamente en el proceso ya que es el pueblo de México quien decidirá.","","https://pbs.twimg.com/amplify_video_thumb/1699534580322320384/img/oN6NaU08PRZg399z.jpg","Cita","2","11","","https://twitter.com/sasildeleon/status/1699554408193745097/analytics","960","","","Morena","blob:https://twitter.com/82278764-f562-459e-bcec-f5208b88a246","","","","https://pbs.twimg.com/profile_images/1675566112061247489/Exh0VeaH_mini.jpg",""
"en la sesión ordinaria de sesiones del Tercer Año de Ejercicio de la LXV Legislatura.","https://twitter.com/MorenaSenadores","https://pbs.twimg.com/profile_images/1589669559400894464/eo74S6aZ_normal.jpg","https://twitter.com/MorenaSenadores","Senadores Morena","@MorenaSenadores","·","https://twitter.com/MorenaSenadores/status/1699521949372936258","6 sept.","La senadora","https://twitter.com/i/broadcasts/1ZkJzXZWvmdKv","https://pbs.twimg.com/card_img/1706517217867714560/i0mON5So?format=jpg&name=orig","Senadores Morena","2","3","12","https://twitter.com/MorenaSenadores/status/1699521949372936258/analytics","445","#EnVivo","https://twitter.com/hashtag/EnVivo?src=hashtag_click","@MorenaSenadores","blob:https://twitter.com/bfc4a059-7c91-4df4-af7c-2f943fd2ea20","@sasildeleon","https://twitter.com/sasildeleon","","https://pbs.twimg.com/profile_images/1589669559400894464/eo74S6aZ_mini.jpg",""
"","https://twitter.com/sasildeleon","https://pbs.twimg.com/profile_images/1633306024345055232/AClmGVBa_normal.jpg","https://twitter.com/sasildeleon","Sasil de León","@sasildeleon","·","https://twitter.com/sasildeleon/status/1699467820541600250","6 sept.","Soy orgullosamente Chiapaneca. 
¡El estado más mexicano y que lo tiene todo!","","","","2","6","31","https://twitter.com/sasildeleon/status/1699467820541600250/analytics","910","#LaGrandezaDeChiapas","https://twitter.com/hashtag/LaGrandezaDeChiapas?src=hashtag_click","0:14","blob:https://twitter.com/52fb8238-ad6d-4b44-ad64-6eceb830f12b","","","","",""
"","https://twitter.com/sasildeleon","https://pbs.twimg.com/profile_images/1633306024345055232/AClmGVBa_normal.jpg","https://twitter.com/sasildeleon","Sasil de León","@sasildeleon","·","https://twitter.com/sasildeleon/status/1699449276831604823","6 sept.","| Siendo Benito Juárez Presidente de México, el 6 de septiembre de 1860 se proclaman en Guanajuato las Leyes de Reforma, su objetivo principal radica en la separación de la Iglesia y el Estado.","https://twitter.com/sasildeleon/status/1699449276831604823/photo/1","https://pbs.twimg.com/media/F5WoG9dXIAAdMYp?format=jpg&name=small","","2","5","","https://twitter.com/sasildeleon/status/1699449276831604823/analytics","260","#Efeméride","https://twitter.com/hashtag/Efem%C3%A9ride?src=hashtag_click","","","","","","",""
