,texto
34,"Un día si y otro también, diario en Jalisco “levantones” y “ejecuciones”    "
35,"No pierda su tiempo doctor, va a volver a perder en jalisco, Morena NO  "
36,"El continúa sus recorrido por diversas regiones del estado. Hoy estuvo en Tepatitlán, donde dijo que la gente de esta región merece vivir mejor y no estar aislados ni alejados de la Federación por culpa del gobierno estatal.  "
37,Comprometido con la productiva región de los Altos de Jalisco visita Tepetitlán se reúne con militantes y simpatizantes de  
38,"Pues así así como que mucha lucha con la corrupción no hubo. Los hijos, hermanos, primas, colaboradores y demás fauna cuateotera del kks  "
39,"Y el mejor horario para los del sector 2,3,4,5 cuando va cambiar  "
40,"Con liderazgos importantes, militantes y simpatizantes de se reunió este día  "
41,"En Tepa y todos los Altos hay gente trabajadora, buena y dedicada, que con o sin apoyo, han sabido construir una de las regiones más fértiles y productivas de México y de toda América. 

¡Gracias por recibirme este domingo!    "
42,"Les presento la cara de la corrupción, les presento al señor que vende fentanilo    "
43,Pudiendo dar un golpe maestro hacen una pendejada que los deja igual que no hacer nada.   https://
44,"9 17 31,1 mil"
45,le gustan los huevos con chorizo    
46,"No sé para que te haces tonta, todos sabemos que siempre andas en andares con y  "
47,Yo creo que gana don Antonio    
48,Pues que ponga su consultorio pero no gobernará Jalisco    
49,"1 4 60,5 mil"
50,Y qué es ? Un corrupto ratero ...    
51,Jajaja    
52,O puedes estar trabajando y quitarte tu patrimonio El pasado 20 de septiembre las y los...  
53,"haber pendejos, por está deuda no van a chistar, sirvan para algo, quieren que los tomen en serio portarse como hombres y manifieste su inconformidad para está deuda.    "
54,3 12 8.401
55,Nos vemos mañana    
56,"Pero ya todos sabemos que los varones van en tu cama...
Con tu esposa    "
57,Rata asquerosa    
58,Eres una mmada doctor corrupto.    
59,Porque es mejor opción? Porque trae la escuela de robar y robar junto a sus hermanos ? Que no debemos olvidar que ellos tres son equipo y uno de ellos anda de  suplente de Lemus votar por ella es solo darle continuidad a mc    
60,Cualquiera le gana a los rateros de Movimiento Ciudadano!    
61,"79 103 10,4 M"
62,¿Se refiere al olor a caca?    
63,"Muy ""interesante y orgánica"" la organización y cobijo que le brindan varios funcionarios.

Al parecer no será difícil elegir a uno o a una como candidata en un municipio del oriente.

Mientras tanto, biba el    "
64,En Jalisco la respuesta es la mejor opción para gobernar nuestro Estado  
65,Conocer de cerca a la gente y sus historias me motiva y me llena de vida. Es un privilegio estar y compartir con ustedes. Gracias por inspirarme todos los días.    
66,"41 37 1,8 M"
67,A perder    
68,La Maestra Clara también tiene cuenta es    
69,"No me fue mal, le atine a cinco    "
70,Y también se respira el fentanilo que vendiste a nuestros jóvenes.    
71,Buen día Don Corrupto    
72,"Cuánta ignorancia se ve al apoyar ese movimiento de cuarta, no saben hacer bien las cosas y tristemente gente neofita los sigue apoyando, por conveniencia y porque los amenazan con quitarles los programas sociales    "
73,"En encuestas realizadas en la zmg y al interior del estado durante las 4 últimas semanas, hay una clara tendencia hacia 3 de los mencionados. Curiosamente inicia con C su nombre    "
74,"Ya es hora , apoyo total    "
75,Jalisco será territorio morena    
76,"226 1.586 7,4 M"
77,     
78,"nada de que ¿quién contra nosotros juntos? No pregunte porque se lleva y luego no se aguanta. Junta más gente un perro atropellado que usted en una foto con sus ""cuates""    "
79,Bendito Dios que la bajaron a la hija de Michel aquí en Vallarta están quedando muy mal en todo    
80,Los jaliscienses y MC están muy ilusionados de que usted sea el candidato señor corrupto.    
81,"52 20 880,1 mil"
82,"Ellos son los aspirantes a la gubernatura de Jalisco por Morena

Tres hombres y tres mujeres participarán en la encuesta para definir al candidato de Morena a la gubernatura de Jalisco: , Clara Cárdenas, ,"
83,Por el bien de Jalisco y su pueblo vamos con el Doctor    
84,"En el oriente de Guadalajara y en todo Jalisco, ¡ya se respira fuerte la 4T!

Queremos paz y tranquilidad, desarrollo y bienestar, y juntos podemos lograrlo. Gracias a los simpatizantes de mi partido por invitarme a conversar con ellos esta tarde. ¡Somos invencibles cuando…    "
85,"En y en Jalisco. 

Felicito a"
86,"1 2 198,9 mil"
87,Y la    
88,"Queda definida la encuesta final de con ,"
89,Avanzan a la siguiente etapa y  
90,Voy por    
91,     
92,"| El presidente nacional de , Mario Delgado ( , Clara Cárdenas,"
93,     
94,Esa Flor se marchito !!!!    
95,"La Comisión de Elecciones de ""bajó"" de la lista para encuestar a Flor Michel y ""subió"" a y"
96,Le dijeron: gracias por participar.    
97,Y la hija del Profe ????    
98,"11 14 910,3 mil"
99,"Mi Quiniela:
Cdmx: Chiapas: sasil de Leon
Guanajuato: Morelos:"
100,En pasan a la y
101,En pasan a la y
102,"anuncia perfiles que van a encuesta final en ,  "
103,"4 25 147,7 mil"
104,"En Jalisco, se suman a Clara Cárdenas en las mujeres y y"
105,.- se devela el misterio y se dan a conocer los finalistas a la encuesta final a Jalisco. Cecilia Márquez y
106,Clará Cárdenas es la opción para candidata  
107,....    
108,"2 80 107,1 mil"
109,"Naaaaadie está contigo wey! Acéptalo, eres el Cruz azul en la política    "
110,"Nada raro, MORENA ama. A los corruptos    "
111,. . .
112,"Si va el el cómo candidato de Morena, la neta si hay que apoyar con las plegarias a  "
113,"Como siempre ridiculeses al rezcate, rejistrando corcholatas patito para que declinen por el, lastima que entre todos no suman los puntos de  "
114,"Si replica a raja tabla el proceso del CEN de considerando fuerza en partido, encuestas a sociedad, y toca hombre, el"
115,"Enserio va a permitir como candidato a un criminal, un mercenario de la desgracia ajena, un capitalista rapaz y sin escrúpulos como ? Cada vez más incongruencia."
116,El pueblo de Jalisco estamos contigo estimado Doctor ! No hay duda eres el único que  
117,"Si ustedes están conmigo, ¿quién puede contra nosotros juntos? 0:26  "
118,"¿Por qué ningunean a del PVEM y a ?
No crean que por anunciarse más en Facebook no se habla de ellos aquí en T/X.
Espero que los jaliscienses no cometan abstencionismo electoral en 2024 ni conserven al PAN o Mugriento Ciudadasno"
119,"101 568 4,3 M"
120,Clara Cárdenas    
121,Ahora sí la encuesta de reconocimiento que aplicó el partido Morena en Jalisco definió como punteros a con 52 puntos y a  
122,Esa es la intención y ahí veremos el real compromiso de los morenos.    
123,"Ahora que son tiempos de campaña, el que sea pero que se arregle!    "
124,"15 25 1,2 M"
125,"Saludos Dr Carlos lomeli Bolaños
Cuenta con nuestro apoyo dtto 14    "
126,"Felicidades el pueblo está contigo
Jalisco 4T    "
127,     
128,"Si avientan a Lomelí tienen la derrota asegurada , mejor donen ese dinero , no van a ganar nada nuevamente    "
129,"1 5 151,5 mil"
130,Dedazo o que !    
131,como regidor usted y otros cuantos. Es momento de actuar aquí una buena oportunidad de recalcar que ustedes están del lado de la gente.    
132,Es un honor estar con el Doctor    
133,jajajajajajaja    
134,No vas ni a trabajar pinché huevon jajajajajaja    
135,Dr. Y ya les llegó al precio para que le den la candidatura. Por cierto Morena tendría la derrota segura.    
136,Éste la mama rico    
137,Todo un gángster...    
138,     
139,". , buscarán candidatura de"
140,"Sí, la verdad, el mejor...
Así vuelven a perder.    "
141,Cinturincito Ferragamo papá?!!    
142,"55 86 337,4 mil"
143,"El regidor ratificó con un 52% a favor en la encuesta de reconocimiento a población abierta, que es importante, que por mucho se mantiene como puntero entre los aspirantes de  "
144,El sondeo de reconocimiento son H y
145,Le falto su uniforme de presidiario    
146,Eres una verdadera mmda doptor.    
147,"5 12 760,5 mil"
148,El mejor candidato    
149,"Al haberse levantado una encuesta telefónica de reconocimiento (tal como lo acaba de mencionar Mario Delgado), más aún podría pasar lo que se vislumbra que pasó. El nombre de Claudia está muy presente en el imaginario colectivo. Mas no quiere decir que realmente las conozcan.    "
150,"Oye doctor seguirá  engañando a los habitantes fuera de la zmg ?

Pregunta sería!    "
151,     
152,"61 96 5,8 M"
153,"Look de chavo-ruco ! A esa edad evidente el cabello pintado y tenis blancos tal cual puberto! Así me da risa y no lo puedo tomar en serio, pídale asesoría a    "
154,Entrega total al servicio público. Saludos Regidora Marta Arizmendi    
155,Jalisco será territorio morena.    
156,y en ese municipio el mando policial es el que más gana en Jalisco… sospechoso o no ???  
157,     
158,Cualquiera que gane es corrupto.    
159,"Unidos por la transformación, comprometidos con la 4T. En Jalisco, la unidad se fundamenta en los principios de , la organización, la movilización y la suma de todas las voluntades.

Con nuestras causas y  "
160,"Que vuelvan a seleccionar a Lomeli, así vuelve a perder Morena y quizá tenga la descendencia de retirarse de la política.    "
161,A construir proyecto impulsando el liderazgo del .  
162,"Qué bueno que esté Carlos Lomelí como puntero, así Jalisco estará libre de Morena. Nadie votará por ese retorcido    "
163,"1 12 106,9 mil"
164,Diosito. Que no vaya a ganar.    
165,Puro dedazo. Asco de encuestas inventadas.    
166,¿No se que es peor si tú o Claudia Delgadillo?. Perfiles seguros para perder nuevamente.    
167,"No cabe duda que a las Claudias les fue bien, la mayoría de ese porcentaje no es suyo. Es de Claudia Sheinbaum.    "
168,"8 12 340,2 mil"
169,Carlos Lomelí es un malandro...    
170,Clara quedó entonces fuera?    
171,¿ Quién es Claudia Bernal?.    
172,"Excelente, con muy buena actitud y disposición.    "
173,"43 363 2,6 M"
174,.- Salen los nombres de los punteros en la encuesta de reconocimiento de en con 52%;
175,Con el Doctor Carlos Lomelí gana Morena y gana el pueblo de Jalisco    
176,Ya estamos llegando a conocer los resultados de la encuesta de reconocimiento de las y los aspirantes a la Coordinación de los Comités de Defensa de la 4T en Jalisco.    
177,"“Se comen las uñas de nervios” las corcholatas morenistas en Jalisco, hoy se define quienes entran a la encuesta definitoria de candidato a la gubernatura. Con resignación se dice entre morenistas que ganara el ...  "
178,Pero señor nadie confia en su partido y menos en usted que es un tranza    
179,"Cada día mi Guadalajara se llena de más y más propaganda basura de Morena, ahora ya hay bardas también de la regidora corrupta junto a las del vendedor de fentanilo  "
180,Nadie confía en ustedes son una manada de ratas asquerosas.    
181,El lado malo de la historia no te dejará brillar    
182,"Para empezar Claudia Delgadillo ni es de morena, es del verde 
Y para continuar, quien le dijo al señor que si en otras contiendas no pudo, ahora sí va a poder?    "
183,"Tu no cumples y traicionas, en morena ya conocen de que para cogeas, eres mentiroso y muy corrupto !!    "
184,"6   18,7 mil"
185,La 4t está en todo    
186,La MUER/4T ronda a los miembros de . GIF
187,Pues como que no se ve que confíen mucho en ti…    
188,"Por Dios ya VASTA de tanta violencia, y la autoridad cuándo va hacer algo???  "
189,"464 914 55,2 M"
190,    GIF
191,"Es correcto ,y a unas calles del call Center en donde desaparecieron los empleados del mismo,pasa en todas partes del área metropolitana ,ya nadie estamos a salvo.    "
192,te hablan    
193,Ayatole Con el Dedo    
194,"3 31 89,6 mil"
195,Más datos estadísticos para …  
196,     
197,"Hay MARRANO, tuvieras al menos congruencia ya que la dignidad ya la perdiste, si antes eran 10, ahora es una y vinculada al poder, tan vinculada que su dueño quiere ser Gobernador de Jalisco,  se llama    "
198,Más datos estadísticos para …  
199,Y siguen los morenacos de matándose entre ellos mismos.  
200,Te hablan    
201,"Que se vea el apoyo de tu partido, de tus compañeros, dónde están? #freeAssangeNow  "
202,Los inmortales ! Av patria a una calle de donde levantaron a la presidenta municipal !    
203,Con todo Doc    
204,Trabajo q se siente!!!    
205,"4 3 60,5 mil"
206,# Regidora Marta Arizmendi Más  por ti En beneficio de un mejor Tonalá
207,     
208,"A don ventas de femtalino lo ponen arriba, se ve muy honesta la encuesta    "
209,No cabe duda que su desempeño cómo funcionario público es de aplaudirle por su buena atención a la ciudadanía    
210,"9 91 979,6 mil"
211,Todos en morena son asesinos    
212,     
213,Los Morenistas y Obradoristas de Jalisco estamos con usted Doc! Cuente con nosotros para sacar a los naranjas corruptos y ponerlos a rendir cuentas al pueblo de Jalisco!    
214,     
215,3   24 mil
216,"Y ayer en Jardines Universidad un comando armado mato a una persona en un restaurante wue tiene años y de mucha tradición, se escucharon rafas por aproximadamente 8 minutos y obvio no agarraron a nadie .    "
217,Y cual es mi película?    
218,Pues....   GIF
219,Ahí falta lamiéndole las botas.  
220,"""no ejtamos del lado de la violencia""    "
221,     
222,"El Doc Lomelí

Nos relata la historia de un corrupto empresario farmacéutico que se ha hecho millonario a costa de la salud.

Descubre como este magnate puede vender el paracetamol a sobreprecio y siempre salirse con la suya de la mano de Morena.    "
223,circula otra encuesta electoral rumbo al 2024. Así la métrica que favorece a como el más rentable según contestan en este ejercicio... usted lo cree?  
224,"6 8 67,8 mil"
225,Terrible!    
226,"Y eso que tiene que ver PENDEJ0, solo por qué ya pasó semanas atrás no se debe hablar del tema?    "
227,"Eres un narco, corrupto y cínico    "
228,No. Seguro    
229,"8   42,2 mil"
230,"Fue el 4 de octubre. Borralo, dicen los chairos que ya no tiene importancia    "
231,¿Nos vas a ir a darles abrazos?    
232,Se debe hacer un llamado colectivo a organismos internacionales y autoridades extranjeras qué pongan fin a este conflicto.    
233,¿Apenas te enteras? Eso tiene tiene semanas que pasó    
234,"2 4 52,2 mil"
235,Siempre así será Dr.! Abrazo y bendiciones    
236,Aguas!!!!    
237,Gracias a quienes confían en mí: seguiré trabajando para estar a la altura de sus esperanzas. ¡Juntas y juntos somos imparables!    
238,"Todo México es terreno del CO, amlo pacto con estos para llegar a la presidencia    "
239,No solamente en Jalisco....    
240,"Por qué será? Ya uno no puede ir a divertirse porque te vas a encontrar con uno de estos weyes y no vas a poder mirar a ningún lado porque se ponen violentos los perros, chale.. pero la culpa la tenemos nosotros, por darle poder al gobierno y el gobierno darle alas a esta basura.    "
241,En todo México sales de fiesta y te puedes encontrar con esto Sucedió en un edificio del Morenista 0:00 / 0:07
242,"Hoy a las 9:00 en :
- Reporte de los efectos de desde"
243,| Conoce la intención  de voto para donde se elegirá gobernador para el proceso electoral de 2024.  
244,No creo!    
245,No entienden que Lomeli no es opcióna menos que el objetivo sea perder.    
246,"2 5 68,6 mil"
247,"Faltan Claudia Delgadillo y José Luis Sánchez, también están compitiendo por lo mismo incluso lo firmaron en el VFG con Claudia Sheinbaum    "
248,     
249,Qué asco.    
250,la encuestadora comparte el resultado de un ejercicio estadístico dónde advierte a más rentable en varios escenarios:
251,"8 171 55,7 mil"
252,la encuestadora comparte el resultado de un ejercicio estadístico dónde advierte a más rentable en varios escenarios:
253,Es una amenaza o que? Si no va hombre gana la fresa expriista y fraudulenta de la inmobiliaria AJP.    
254,"Cómo cree la IA que se veía en los años 90’s…
Cómo en realidad se veía…  "
255,"¿Le duele el pecho? O por qué siempre sale con fotos así? O, ¿es un saludo masón ridículo para atraer a sus hermanitos?    "
256,"7 9 784,7 mil"
257,"¿Y ese milagro que chambea?, ¿ya no dejó tanta lana la venta de fentanilo?    "
258,"Ta bien no hay pedo, de todas formas Morena se la paso 6 años completitos comiendo riata en lugar de ser oposición del pelón. El pelón cuando estaba Aristóteles todos los días sin falta cagaba el palo, de Morena no hubo un solo muñeco que lo hiciera. Se lo merecen por tibios.    "
259,Y si en Jalisco toca mujer ???    
260,"Buenas noticias para el , pues en este mes tres encuestas lo colocan al frente en las preferencias ciudadanas para ser el candidato de  "
261,Si lo quieres decir así ok pues eso es    
262,Corrupto    
263,Ratotaaa!!!    
264,Qué bien para que vuelvan a perder Jalisco    
265,Creo que a nadie le interesa.    
266,     
267,"No vendió el estado, el estado nunca lo han tenido. Lo que vendieron fue la candidatura para alguien que a todas luces va a perder su 5ta elección consecutiva.    "
268,"1 3 67,8 mil"
269,No te burles.   GIF
270,"Esa encuesta está pagada para dar números para beneficiar al Dr. pero lo que si es un hecho, que si queda, tendremos a Movimiento Ciudadano Gobernando 6 años más, la gente no va votar por el.    "
271,Ratotaaa    
272,"Don Amores ""la bestia"" pierde elecciones Lomeli. la neta, crees que don amores gane en esta ocasión?  "
273,"5 32 791,1 mil"
274,"Va Clara Cárdenas Galván, por honesta y la más fiel intérprete del movimiento y política obradorista.    "
275,La rata mayor    
276,Jajajajajaj jajajajajaj la neta    
277,"Esas encuestas son más falsas que el chupacabras. Ese Lomeli es una rata de dos patas, chapulín y embustero, pinché priista de antaño.  "
278,"7 64 111,9 mil"
279,Lo y lo en sus
280,No pues ya perdieron con Lomelí. Necesitan algo innovador y cercano a la gente de Jalisco.    
281,"Doctor, las precampañas aún no empiezan. Sería una lástima que el y el  "
282,"No memes Hiram, con villanueva y Delgadillo en morena, así se ven morena y el PRI   GIF"
283,"No memes Hiram, con villanueva y Delgadillo en morena, así se ven morena y el PRI   GIF"
284,"Para ser honestos es el que menos fama de rata tiene de entre los primeros 3,.aunque eso no significa que no sea peor que ratanueva o robatodillo.    "
285,Jajajajajajaja    
286,1 25 31 mil
287,     
288,"Caramba mi doc. Todo parece indicar que lo que le preocupa es el presente. 

Se está rasgando las vestiduras que hasta el color guinda dejo.    "
289,La oposición se los agradece jajaja    
290,Sobre todo usted honesto!!!! Jajajaja seguramente    
291,"32 142 1,5 M"
292,La identidad partidista de los jaliscienses predominantemente se inclina por y  
293,Jajajajjaa a buen árbol    
294,yo considero que ya no sea Carlos Lomelí porque nuevamente perderá y se quiere sangre nueva que ofrezca más de lo que ofrece Carlos Lomelí    
295,Excelente sea ... Así pierden de nuevo.  
296,"418 1.146 51,7 M"
297,"Y sí, eso parece! Respecto a su asesor de campañas, en el proceso anterior, su equipo constaba de pura gente con prepa trunca, hijos de notarios, politólogos sin experiencia y ni hablar de la palabra planeación, sólo había una mujer que valia la pena, una politica de antaño.    "
298,"Jajajajajaja esa imagen parece portada de telenovela turca de los 80s.
Siempre he creído que a Lomelí lo debe de asesorar algún rival político.    "
299,O sea con venta de medicamentos a sobre precio?    
300,Aguas con los bots de mc.    
301,Exacto    
302,Igual que AMLO?    
303,"Quien cumple su palabra, no tiene miedo del pasado, ni del futuro.    "
304,DR lobby 33    
305,Algo que claramente no tienes y no entiendes.    
306,"2 2 74,1 mil"
307,Me encantaría ver qué pruebes todo lo que dices bigotón.    
308,JAJAJAJAJAJAJAJA    
309,Lo dice el Dr. Corruptin.   GIF
310,"Se original mañanera, seria bueno aclarar si en qué se gasta el dinero el ayuntamiento de gdl y también como lomedic vendí a sobre precio y ganaba todas las licitaciones o el 80%    "
311,"19 14 643,3 mil"
312,"Perdiendo elecciones desde 2004.
Otro triunfo seguro para MC    "
313,"De perdedor no tiene nada esta alimaña su historia dice que toda la lana que tiene la hizo por hacer negocios limpios y puros con pri, pan, prd y morena. Sin embargo a esos de morena no tienen memoria    "
314,"El zar de la medicina durante los gobiernos que tanto critica, y también de PRD y morena pero ya se le olvidó que vendía caducado, clonado y así te precio. Buscado por los americanos desde hace años    "
315,"No para nada no, lomeli es candidato perdedor, es tiempo de mujeres,  Clara Cárdenas!!!    "
316,"5 30 223,6 mil"
317,"Yo creo que por eso la gente no fue por lo nublado, otra vez jaja    "
318,"Tenías 2 años INACTIVO, sin ir a trabajar… y se acercan las elecciones y ahora si te dió por disque “trabajar” que bato tan patetico… pd Nooo, no vas a ser gobernador OOOTRA VEZ  "
319,"Si claro, la misma encuestadora que era la única que daba por ganador a Marcelo    "
320,que triste Lomeli es un pésimo candidato con mucho dinero    
321,"Le darás carta abierta Lemus para la gobernatura, pongan jóvenes, ideas nuevas, no el mismo discurso y los personajes de siempre ...    "
322,"¿Quién será el ""otro""? que aparece con el 11.9 en segundo lugar ...    "
323,"El mayor corrupto de todo el partido,  pero bueno habrá que esperar a ver si no resulta que reclutan a un panista o priista,  en una de esas viene claudia y presenta al güero barba    "
324,Recuerda que todo es reversible en tiempos de definición.    
325,"No me sorprende, tremendo pndejazo apoyando a Morena    "
326,"Morena acaba de vender al estado, una pena    "
327,Chema    
328,"4 1 68,9 mil"
329,     
330,"Jaja sorpresa sorpresa, casi igual que con claudia    "
331,Que chingon que vaya el doctor de nuevo! Así vuelven a perder SEGURO!    
332,"Es algo muy tonto volver a poner a Lomeli, debieron poner a otro candidato. Pero en fin!    "
333,"1 1 139,3 mil"
334,Jalisco ya decidió vamos con el Doctor Carlos Lomelí    
335,"A menos de 20 días de que termine el plazo para elegir al coordinador estatal de la defensa de la 4T en Jalisco las tendencias son irreversibles.

En Jalisco la militancia y los simpatizantes de morena apoyan al Caminando con  "
336,"No mames, tus pinches tranzas con tus ""empresas"" no están nubladas, son oscuras tirando a negro cabron cínico jajajajajajajajajajajaja    "
337,"Tu no eres ningún líder, sino un corrupto oportunista que vive traicionar y usar a la gente. No mereces ningún apoyo, eres peor que Álfaro    "
338,"1 4 20,6 mil"
339,Lomelí también tiene la cola muuuy larga. Cof cof…    
340,Mira cornudo. Callate    
341,"Entonces ya te colocas del lado Harfuchiano de la historia con los Garcías, ta bien para recordártelo después    "
342,"Jajaja lo corrieron del jale de Superdelegado por qué se asignó contratos a su propia empresa, no digas mamadas. Este cabrón es más rata que todo el movimiento inmobiliario juntos.    "
343,"Su pasado es Negro, no gris.    "
344,"Nah, si está ratota es el candidato ganan de nuevo los pelones de Alfaro, fácil. Este cabrón cada 3 años pierde su elección aún saliendo con el partido en el poder.    "
345,"No invada la banqueta, rente un cuchitril y ahí se pone a decir sus pendejadas. Que culpa tienen los ciudadanos que van transitando por ahí ver la cara de 4 pendejos grises en su ""oposición"" al igual que el gobierno    "
346,"Nublado y gris tu pasado además de tus fechorías, ahora dinos tu eres la solución? Por favor, huevon … payaso    "
347,En puebla Armenta! Mier es del equipo de Ebrard y por eso fuchi.    
348,Jajajaja viejo ridiculo    
349,"Qué hueva, puras copias baratas del gobierno federal.    "
350,"De Guadalajara, de Zapopan, de Tlajomulco, de Acatlán de Juárez de todo Jalisco. Es un asco el movimiento narcoInmobiliario, esperemos que usted haga el cambio para bien!!    "
351,2   3.221
352,Viva catering se llama. Una joya quien está detrás de todo. Igual en zapopan. Mismo proveedor    
353,"En la CDMX, la ruta es Clara, de ahí pueden partir en 4 y 4. Puede haber un procedimiento partidario para evitar sobre-representación.    "
354,"Quiero tomar un momento para agradecerles de corazón por sus palabras y comentarios tan alentadores.

¡Ustedes son mi motor y fuente de inspiración! 0:32  "
355,Por supuesto q el mejor es Chema Martinez    
356,4 30 65 mil
357,     
358,     
359,"| El regidor de Monera, , denuncia gastos excesivos en banquetes de gobierno tapatío.  "
360,están cordialmente invitados    
361,"8 18 657,8 mil"
362,", encabeza el Top 10 del el de ,"
363,. y .
364,     
365,"deberias de investigar el edifico lobby 33 te vas a sorprender, o también te regalaron depa como    "
366,Saludos    
367,"Y afuera de presidencia porque adentro no te dejan pinche ratota, ponte a trabajar huevón. Quiérete tantito príncipe. No la vas a ganar jajaja  "
368,"Ridículo, ponte a trabajar en lugar de hacer    "
369,"4 32 75,5 mil"
370,Y las denuncias.....puro bla bla....Queremos denuncias    
371,Chema    
372,"Les gusta hacer caravana con sombrero ajeno, tanto que criticaron y salieron peo.    "
373,es del prian? Jajajaja no ma mes    
374,"60 83 2,4 M"
375,¿Es a la que le vendes fentanilo?    
376,"No muestran pruebas, solo habla y habla, en cambio todos los jaliscienses sabemos lo rata que es ese señor.    "
377,"y el doctor ni eso da, par de méndigos    "
378,Viejo hipocrita antes bien pegado a Augusto y ahora a donde mas le conviene.    
379,"75 146 5,4 M"
380,Contratan p eventos VIP de Lemus mil banquetes más de 3 tiempos con bebidas para 2 meses que restan del año por más de 1 millón de pesos mientras los trabajadores de que estarán en la Romería les darán lonches y su chesco con costo de 13 mil pesos señaló  
381,Sigue de aferrado al hueso este tipo perdedor    
382,Yo tengo otros datos lambiscon    
383,Te falto en Jalisco Juan Carlos Solano que tiene!!  
384,"¿Y las pruebas? te gusta hablar sin pruebas, puro teatro el tuyo.    "
385,"Pónganse a chambear, huevones.    "
386,En CDMX    
387,Todos son puercos y trompudos vea el de morena en el.salto en sus cosas personales gasta dinero del.pueblo    
388,"1 7 81,4 mil"
389,     
390,"Vea a Harfuch? También Gatell, no lo omitas. Él es mucho mejor candidato qué Harfuch, aunque te pese. Tu ni vives en la cdmx, por qué lo apoyas?    "
391,La pura pus está en    
392,Tambien pagan por asesorias no solo banquetes +25 mil pesos ! el raton de Salvador  Caro!  
393,"11 124 377,7 mil"
394,Circula en las REDES...    
395,"gastando dinero ajeno, para eso son buenos los perros malditos hdsptm    "
396,     
397,América Rangel    
398,"10 87 646,1 mil"
399,"Los 3 niveles de gobierno están pal perro, pero el federal si es una charlotada.    "
400,     
401,¿Qué más les queda para alcanzar el hueso?    
402,Con que cara    
403,es el bueno    
404,"Ánimo doc lo bueno que ya se van !
Sigue la 4ta  transformación    "
405,si de verdad se busca un cambio el debe ganar por mucho !    
406,"2 10 74,5 mil"
407,"Pero ellos no son criminales como otros doc, de todos modos gracias por sacar ese monto (mínimo relacionado con lo que mueve cierto médico de manera ilegal) y por su preocupación!    "
408,     
409,Lamebotas    
410,"Clemente Castañeda nuestro apoyó total, será nuestro voto.
Lemus y Frangie artos y cansados la ciudadanía de lo que robado descaradamente, les saldrán más cosas escondidas de sus corruptelas.    "
411,"8 44 45,3 mil"
412,Vamos con    
413,"Uno de los temas a tratar en nuestra , es la denuncia de cómo el  "
414,Por supuesto es la mejor opcion para ser nuestro Gobernador  
415,Michel lopez    
416,5 26 126 mil
417,"Jajajjaj pelagatos y lamebotas, cómo ya no se te hizo con Adán Augusto, ahora quieres chayote con Yolanda pero tampoco va llegar jajajaj    "
418,Excelente y buen día.    
