texto,emocion
"Ellos son los aspirantes a la gubernatura de Jalisco por Morena

Tres hombres y tres mujeres participarán en la encuesta para definir al candidato de Morena a la gubernatura de Jalisco: , Clara Cárdenas, ,",neutral
Por el bien de Jalisco y su pueblo vamos con el Doctor    ,approval
"En el oriente de Guadalajara y en todo Jalisco, ¡ya se respira fuerte la 4T!

Queremos paz y tranquilidad, desarrollo y bienestar, y juntos podemos lograrlo. Gracias a los simpatizantes de mi partido por invitarme a conversar con ellos esta tarde. ¡Somos invencibles cuando…    ",gratitude
"En y en Jalisco. 

Felicito a",joy
"1 2 198,9 mil",neutral
Y la    ,neutral
"Queda definida la encuesta final de con ,",neutral
Avanzan a la siguiente etapa y  ,neutral
Voy por    ,neutral
     ,neutral
"| El presidente nacional de , Mario Delgado ( , Clara Cárdenas,",neutral
     ,neutral
Esa Flor se marchito !!!!    ,neutral
"La Comisión de Elecciones de ""bajó"" de la lista para encuestar a Flor Michel y ""subió"" a y",neutral
Le dijeron: gracias por participar.    ,gratitude
Y la hija del Profe ????    ,neutral
"11 14 910,3 mil",neutral
"Mi Quiniela:
Cdmx: Chiapas: sasil de Leon
Guanajuato: Morelos:",neutral
En pasan a la y,neutral
En pasan a la y,neutral
"anuncia perfiles que van a encuesta final en ,  ",neutral
"4 25 147,7 mil",neutral
"En Jalisco, se suman a Clara Cárdenas en las mujeres y y",neutral
.- se devela el misterio y se dan a conocer los finalistas a la encuesta final a Jalisco. Cecilia Márquez y,neutral
Clará Cárdenas es la opción para candidata  ,neutral
....    ,neutral
"2 80 107,1 mil",neutral
"Naaaaadie está contigo wey! Acéptalo, eres el Cruz azul en la política    ",approval
"Nada raro, MORENA ama. A los corruptos    ",love
. . .,neutral
"Si va el el cómo candidato de Morena, la neta si hay que apoyar con las plegarias a  ",neutral
"Como siempre ridiculeses al rezcate, rejistrando corcholatas patito para que declinen por el, lastima que entre todos no suman los puntos de  ",neutral
"Si replica a raja tabla el proceso del CEN de considerando fuerza en partido, encuestas a sociedad, y toca hombre, el",neutral
"Enserio va a permitir como candidato a un criminal, un mercenario de la desgracia ajena, un capitalista rapaz y sin escrúpulos como ? Cada vez más incongruencia.",disapproval
El pueblo de Jalisco estamos contigo estimado Doctor ! No hay duda eres el único que  ,neutral
"Si ustedes están conmigo, ¿quién puede contra nosotros juntos? 0:26  ",curiosity
"¿Por qué ningunean a del PVEM y a ?
No crean que por anunciarse más en Facebook no se habla de ellos aquí en T/X.
Espero que los jaliscienses no cometan abstencionismo electoral en 2024 ni conserven al PAN o Mugriento Ciudadasno",optimism
"101 568 4,3 M",neutral
Clara Cárdenas    ,neutral
Ahora sí la encuesta de reconocimiento que aplicó el partido Morena en Jalisco definió como punteros a con 52 puntos y a  ,neutral
Esa es la intención y ahí veremos el real compromiso de los morenos.    ,admiration
"Ahora que son tiempos de campaña, el que sea pero que se arregle!    ",neutral
"15 25 1,2 M",neutral
"Saludos Dr Carlos lomeli Bolaños
Cuenta con nuestro apoyo dtto 14    ",neutral
"Felicidades el pueblo está contigo
Jalisco 4T    ",caring
     ,neutral
"Si avientan a Lomelí tienen la derrota asegurada , mejor donen ese dinero , no van a ganar nada nuevamente    ",neutral
"1 5 151,5 mil",neutral
Dedazo o que !    ,neutral
como regidor usted y otros cuantos. Es momento de actuar aquí una buena oportunidad de recalcar que ustedes están del lado de la gente.    ,approval
Es un honor estar con el Doctor    ,joy
jajajajajajaja    ,amusement
No vas ni a trabajar pinché huevon jajajajajaja    ,amusement
Dr. Y ya les llegó al precio para que le den la candidatura. Por cierto Morena tendría la derrota segura.    ,neutral
Éste la mama rico    ,neutral
Todo un gángster...    ,neutral
     ,neutral
". , buscarán candidatura de",neutral
"Sí, la verdad, el mejor...
Así vuelven a perder.    ",disappointment
Cinturincito Ferragamo papá?!!    ,curiosity
"55 86 337,4 mil",neutral
"El regidor ratificó con un 52% a favor en la encuesta de reconocimiento a población abierta, que es importante, que por mucho se mantiene como puntero entre los aspirantes de  ",approval
El sondeo de reconocimiento son H y,neutral
Le falto su uniforme de presidiario    ,sadness
Eres una verdadera mmda doptor.    ,approval
"5 12 760,5 mil",neutral
El mejor candidato    ,curiosity
"Al haberse levantado una encuesta telefónica de reconocimiento (tal como lo acaba de mencionar Mario Delgado), más aún podría pasar lo que se vislumbra que pasó. El nombre de Claudia está muy presente en el imaginario colectivo. Mas no quiere decir que realmente las conozcan.    ",neutral
"Oye doctor seguirá  engañando a los habitantes fuera de la zmg ?

Pregunta sería!    ",neutral
     ,neutral
"61 96 5,8 M",neutral
"Look de chavo-ruco ! A esa edad evidente el cabello pintado y tenis blancos tal cual puberto! Así me da risa y no lo puedo tomar en serio, pídale asesoría a    ",amusement
Entrega total al servicio público. Saludos Regidora Marta Arizmendi    ,neutral
Jalisco será territorio morena.    ,neutral
y en ese municipio el mando policial es el que más gana en Jalisco… sospechoso o no ???  ,curiosity
     ,neutral
Cualquiera que gane es corrupto.    ,anger
"Unidos por la transformación, comprometidos con la 4T. En Jalisco, la unidad se fundamenta en los principios de , la organización, la movilización y la suma de todas las voluntades.

Con nuestras causas y  ",approval
"Que vuelvan a seleccionar a Lomeli, así vuelve a perder Morena y quizá tenga la descendencia de retirarse de la política.    ",neutral
A construir proyecto impulsando el liderazgo del .  ,approval
"Qué bueno que esté Carlos Lomelí como puntero, así Jalisco estará libre de Morena. Nadie votará por ese retorcido    ",neutral
"1 12 106,9 mil",neutral
Diosito. Que no vaya a ganar.    ,disapproval
Puro dedazo. Asco de encuestas inventadas.    ,disgust
¿No se que es peor si tú o Claudia Delgadillo?. Perfiles seguros para perder nuevamente.    ,confusion
"No cabe duda que a las Claudias les fue bien, la mayoría de ese porcentaje no es suyo. Es de Claudia Sheinbaum.    ",neutral
"8 12 340,2 mil",neutral
Carlos Lomelí es un malandro...    ,neutral
Clara quedó entonces fuera?    ,neutral
¿ Quién es Claudia Bernal?.    ,curiosity
"Excelente, con muy buena actitud y disposición.    ",admiration
"43 363 2,6 M",neutral
.- Salen los nombres de los punteros en la encuesta de reconocimiento de en con 52%;,neutral
Con el Doctor Carlos Lomelí gana Morena y gana el pueblo de Jalisco    ,neutral
Ya estamos llegando a conocer los resultados de la encuesta de reconocimiento de las y los aspirantes a la Coordinación de los Comités de Defensa de la 4T en Jalisco.    ,curiosity
"“Se comen las uñas de nervios” las corcholatas morenistas en Jalisco, hoy se define quienes entran a la encuesta definitoria de candidato a la gubernatura. Con resignación se dice entre morenistas que ganara el ...  ",neutral
Pero señor nadie confia en su partido y menos en usted que es un tranza    ,disapproval
"Cada día mi Guadalajara se llena de más y más propaganda basura de Morena, ahora ya hay bardas también de la regidora corrupta junto a las del vendedor de fentanilo  ",annoyance
Nadie confía en ustedes son una manada de ratas asquerosas.    ,disgust
El lado malo de la historia no te dejará brillar    ,caring
"Para empezar Claudia Delgadillo ni es de morena, es del verde 
Y para continuar, quien le dijo al señor que si en otras contiendas no pudo, ahora sí va a poder?    ",neutral
"Tu no cumples y traicionas, en morena ya conocen de que para cogeas, eres mentiroso y muy corrupto !!    ",disapproval
"6   18,7 mil",neutral
La 4t está en todo    ,neutral
La MUER/4T ronda a los miembros de . GIF,neutral
Pues como que no se ve que confíen mucho en ti…    ,neutral
"Por Dios ya VASTA de tanta violencia, y la autoridad cuándo va hacer algo???  ",curiosity
"464 914 55,2 M",neutral
    GIF,neutral
"Es correcto ,y a unas calles del call Center en donde desaparecieron los empleados del mismo,pasa en todas partes del área metropolitana ,ya nadie estamos a salvo.    ",approval
te hablan    ,neutral
Ayatole Con el Dedo    ,neutral
"3 31 89,6 mil",neutral
Más datos estadísticos para …  ,neutral
     ,neutral
"Hay MARRANO, tuvieras al menos congruencia ya que la dignidad ya la perdiste, si antes eran 10, ahora es una y vinculada al poder, tan vinculada que su dueño quiere ser Gobernador de Jalisco,  se llama    ",neutral
Más datos estadísticos para …  ,neutral
Y siguen los morenacos de matándose entre ellos mismos.  ,neutral
Te hablan    ,neutral
"Que se vea el apoyo de tu partido, de tus compañeros, dónde están? #freeAssangeNow  ",curiosity
Los inmortales ! Av patria a una calle de donde levantaron a la presidenta municipal !    ,neutral
Con todo Doc    ,neutral
Trabajo q se siente!!!    ,neutral
"4 3 60,5 mil",neutral
# Regidora Marta Arizmendi Más  por ti En beneficio de un mejor Tonalá,caring
     ,neutral
"A don ventas de femtalino lo ponen arriba, se ve muy honesta la encuesta    ",approval
No cabe duda que su desempeño cómo funcionario público es de aplaudirle por su buena atención a la ciudadanía    ,admiration
"9 91 979,6 mil",neutral
Todos en morena son asesinos    ,sadness
     ,neutral
Los Morenistas y Obradoristas de Jalisco estamos con usted Doc! Cuente con nosotros para sacar a los naranjas corruptos y ponerlos a rendir cuentas al pueblo de Jalisco!    ,neutral
     ,neutral
3   24 mil,neutral
"Y ayer en Jardines Universidad un comando armado mato a una persona en un restaurante wue tiene años y de mucha tradición, se escucharon rafas por aproximadamente 8 minutos y obvio no agarraron a nadie .    ",neutral
Y cual es mi película?    ,curiosity
Pues....   GIF,neutral
Ahí falta lamiéndole las botas.  ,neutral
"""no ejtamos del lado de la violencia""    ",disapproval
     ,neutral
"El Doc Lomelí

Nos relata la historia de un corrupto empresario farmacéutico que se ha hecho millonario a costa de la salud.

Descubre como este magnate puede vender el paracetamol a sobreprecio y siempre salirse con la suya de la mano de Morena.    ",neutral
circula otra encuesta electoral rumbo al 2024. Así la métrica que favorece a como el más rentable según contestan en este ejercicio... usted lo cree?  ,neutral
"6 8 67,8 mil",neutral
Terrible!    ,fear
"Y eso que tiene que ver PENDEJ0, solo por qué ya pasó semanas atrás no se debe hablar del tema?    ",confusion
"Eres un narco, corrupto y cínico    ",disgust
No. Seguro    ,neutral
"8   42,2 mil",neutral
"Fue el 4 de octubre. Borralo, dicen los chairos que ya no tiene importancia    ",realization
¿Nos vas a ir a darles abrazos?    ,curiosity
Se debe hacer un llamado colectivo a organismos internacionales y autoridades extranjeras qué pongan fin a este conflicto.    ,approval
¿Apenas te enteras? Eso tiene tiene semanas que pasó    ,curiosity
"2 4 52,2 mil",neutral
Siempre así será Dr.! Abrazo y bendiciones    ,gratitude
Aguas!!!!    ,neutral
Gracias a quienes confían en mí: seguiré trabajando para estar a la altura de sus esperanzas. ¡Juntas y juntos somos imparables!    ,gratitude
"Todo México es terreno del CO, amlo pacto con estos para llegar a la presidencia    ",neutral
No solamente en Jalisco....    ,neutral
"Por qué será? Ya uno no puede ir a divertirse porque te vas a encontrar con uno de estos weyes y no vas a poder mirar a ningún lado porque se ponen violentos los perros, chale.. pero la culpa la tenemos nosotros, por darle poder al gobierno y el gobierno darle alas a esta basura.    ",neutral
En todo México sales de fiesta y te puedes encontrar con esto Sucedió en un edificio del Morenista 0:00 / 0:07,neutral
"Hoy a las 9:00 en :
- Reporte de los efectos de desde",approval
| Conoce la intención  de voto para donde se elegirá gobernador para el proceso electoral de 2024.  ,neutral
No creo!    ,disapproval
No entienden que Lomeli no es opcióna menos que el objetivo sea perder.    ,realization
"2 5 68,6 mil",neutral
"Faltan Claudia Delgadillo y José Luis Sánchez, también están compitiendo por lo mismo incluso lo firmaron en el VFG con Claudia Sheinbaum    ",neutral
     ,neutral
Qué asco.    ,neutral
la encuestadora comparte el resultado de un ejercicio estadístico dónde advierte a más rentable en varios escenarios:,neutral
"8 171 55,7 mil",neutral
la encuestadora comparte el resultado de un ejercicio estadístico dónde advierte a más rentable en varios escenarios:,neutral
Es una amenaza o que? Si no va hombre gana la fresa expriista y fraudulenta de la inmobiliaria AJP.    ,confusion
"Cómo cree la IA que se veía en los años 90’s…
Cómo en realidad se veía…  ",curiosity
"¿Le duele el pecho? O por qué siempre sale con fotos así? O, ¿es un saludo masón ridículo para atraer a sus hermanitos?    ",curiosity
"7 9 784,7 mil",neutral
"¿Y ese milagro que chambea?, ¿ya no dejó tanta lana la venta de fentanilo?    ",curiosity
"Ta bien no hay pedo, de todas formas Morena se la paso 6 años completitos comiendo riata en lugar de ser oposición del pelón. El pelón cuando estaba Aristóteles todos los días sin falta cagaba el palo, de Morena no hubo un solo muñeco que lo hiciera. Se lo merecen por tibios.    ",neutral
Y si en Jalisco toca mujer ???    ,confusion
"Buenas noticias para el , pues en este mes tres encuestas lo colocan al frente en las preferencias ciudadanas para ser el candidato de  ",neutral
Si lo quieres decir así ok pues eso es    ,neutral
Corrupto    ,anger
Ratotaaa!!!    ,fear
Qué bien para que vuelvan a perder Jalisco    ,relief
Creo que a nadie le interesa.    ,neutral
     ,neutral
"No vendió el estado, el estado nunca lo han tenido. Lo que vendieron fue la candidatura para alguien que a todas luces va a perder su 5ta elección consecutiva.    ",neutral
"1 3 67,8 mil",neutral
No te burles.   GIF,neutral
"Esa encuesta está pagada para dar números para beneficiar al Dr. pero lo que si es un hecho, que si queda, tendremos a Movimiento Ciudadano Gobernando 6 años más, la gente no va votar por el.    ",neutral
Ratotaaa    ,neutral
"Don Amores ""la bestia"" pierde elecciones Lomeli. la neta, crees que don amores gane en esta ocasión?  ",neutral
"5 32 791,1 mil",neutral
"Va Clara Cárdenas Galván, por honesta y la más fiel intérprete del movimiento y política obradorista.    ",approval
La rata mayor    ,neutral
Jajajajajaj jajajajajaj la neta    ,amusement
"Esas encuestas son más falsas que el chupacabras. Ese Lomeli es una rata de dos patas, chapulín y embustero, pinché priista de antaño.  ",disapproval
"7 64 111,9 mil",neutral
Lo y lo en sus,neutral
No pues ya perdieron con Lomelí. Necesitan algo innovador y cercano a la gente de Jalisco.    ,desire
"Doctor, las precampañas aún no empiezan. Sería una lástima que el y el  ",annoyance
"No memes Hiram, con villanueva y Delgadillo en morena, así se ven morena y el PRI   GIF",neutral
"No memes Hiram, con villanueva y Delgadillo en morena, así se ven morena y el PRI   GIF",neutral
"Para ser honestos es el que menos fama de rata tiene de entre los primeros 3,.aunque eso no significa que no sea peor que ratanueva o robatodillo.    ",disapproval
Jajajajajajaja    ,amusement
1 25 31 mil,neutral
     ,neutral
"Caramba mi doc. Todo parece indicar que lo que le preocupa es el presente. 

Se está rasgando las vestiduras que hasta el color guinda dejo.    ",neutral
La oposición se los agradece jajaja    ,amusement
Sobre todo usted honesto!!!! Jajajaja seguramente    ,amusement
"32 142 1,5 M",neutral
La identidad partidista de los jaliscienses predominantemente se inclina por y  ,neutral
Jajajajjaa a buen árbol    ,amusement
yo considero que ya no sea Carlos Lomelí porque nuevamente perderá y se quiere sangre nueva que ofrezca más de lo que ofrece Carlos Lomelí    ,neutral
Excelente sea ... Así pierden de nuevo.  ,admiration
"418 1.146 51,7 M",neutral
"Y sí, eso parece! Respecto a su asesor de campañas, en el proceso anterior, su equipo constaba de pura gente con prepa trunca, hijos de notarios, politólogos sin experiencia y ni hablar de la palabra planeación, sólo había una mujer que valia la pena, una politica de antaño.    ",realization
"Jajajajajaja esa imagen parece portada de telenovela turca de los 80s.
Siempre he creído que a Lomelí lo debe de asesorar algún rival político.    ",amusement
O sea con venta de medicamentos a sobre precio?    ,neutral
Aguas con los bots de mc.    ,neutral
Exacto    ,neutral
Igual que AMLO?    ,neutral
"Quien cumple su palabra, no tiene miedo del pasado, ni del futuro.    ",optimism
DR lobby 33    ,neutral
Algo que claramente no tienes y no entiendes.    ,neutral
"2 2 74,1 mil",neutral
Me encantaría ver qué pruebes todo lo que dices bigotón.    ,love
JAJAJAJAJAJAJAJA    ,amusement
Lo dice el Dr. Corruptin.   GIF,neutral
"Se original mañanera, seria bueno aclarar si en qué se gasta el dinero el ayuntamiento de gdl y también como lomedic vendí a sobre precio y ganaba todas las licitaciones o el 80%    ",caring
"19 14 643,3 mil",neutral
"Perdiendo elecciones desde 2004.
Otro triunfo seguro para MC    ",disappointment
"De perdedor no tiene nada esta alimaña su historia dice que toda la lana que tiene la hizo por hacer negocios limpios y puros con pri, pan, prd y morena. Sin embargo a esos de morena no tienen memoria    ",neutral
"El zar de la medicina durante los gobiernos que tanto critica, y también de PRD y morena pero ya se le olvidó que vendía caducado, clonado y así te precio. Buscado por los americanos desde hace años    ",realization
"No para nada no, lomeli es candidato perdedor, es tiempo de mujeres,  Clara Cárdenas!!!    ",disapproval
"5 30 223,6 mil",neutral
"Yo creo que por eso la gente no fue por lo nublado, otra vez jaja    ",amusement
"Tenías 2 años INACTIVO, sin ir a trabajar… y se acercan las elecciones y ahora si te dió por disque “trabajar” que bato tan patetico… pd Nooo, no vas a ser gobernador OOOTRA VEZ  ",neutral
"Si claro, la misma encuestadora que era la única que daba por ganador a Marcelo    ",approval
que triste Lomeli es un pésimo candidato con mucho dinero    ,disapproval
"Le darás carta abierta Lemus para la gobernatura, pongan jóvenes, ideas nuevas, no el mismo discurso y los personajes de siempre ...    ",neutral
"¿Quién será el ""otro""? que aparece con el 11.9 en segundo lugar ...    ",curiosity
"El mayor corrupto de todo el partido,  pero bueno habrá que esperar a ver si no resulta que reclutan a un panista o priista,  en una de esas viene claudia y presenta al güero barba    ",annoyance
Recuerda que todo es reversible en tiempos de definición.    ,neutral
"No me sorprende, tremendo pndejazo apoyando a Morena    ",approval
"Morena acaba de vender al estado, una pena    ",embarrassment
Chema    ,neutral
"4 1 68,9 mil",neutral
     ,neutral
"Jaja sorpresa sorpresa, casi igual que con claudia    ",surprise
Que chingon que vaya el doctor de nuevo! Así vuelven a perder SEGURO!    ,caring
"Es algo muy tonto volver a poner a Lomeli, debieron poner a otro candidato. Pero en fin!    ",neutral
"1 1 139,3 mil",neutral
Jalisco ya decidió vamos con el Doctor Carlos Lomelí    ,neutral
"A menos de 20 días de que termine el plazo para elegir al coordinador estatal de la defensa de la 4T en Jalisco las tendencias son irreversibles.

En Jalisco la militancia y los simpatizantes de morena apoyan al Caminando con  ",realization
"No mames, tus pinches tranzas con tus ""empresas"" no están nubladas, son oscuras tirando a negro cabron cínico jajajajajajajajajajajaja    ",amusement
"Tu no eres ningún líder, sino un corrupto oportunista que vive traicionar y usar a la gente. No mereces ningún apoyo, eres peor que Álfaro    ",disapproval
"1 4 20,6 mil",neutral
Lomelí también tiene la cola muuuy larga. Cof cof…    ,neutral
Mira cornudo. Callate    ,neutral
"Entonces ya te colocas del lado Harfuchiano de la historia con los Garcías, ta bien para recordártelo después    ",neutral
"Jajaja lo corrieron del jale de Superdelegado por qué se asignó contratos a su propia empresa, no digas mamadas. Este cabrón es más rata que todo el movimiento inmobiliario juntos.    ",amusement
"Su pasado es Negro, no gris.    ",neutral
"Nah, si está ratota es el candidato ganan de nuevo los pelones de Alfaro, fácil. Este cabrón cada 3 años pierde su elección aún saliendo con el partido en el poder.    ",annoyance
"No invada la banqueta, rente un cuchitril y ahí se pone a decir sus pendejadas. Que culpa tienen los ciudadanos que van transitando por ahí ver la cara de 4 pendejos grises en su ""oposición"" al igual que el gobierno    ",anger
"Nublado y gris tu pasado además de tus fechorías, ahora dinos tu eres la solución? Por favor, huevon … payaso    ",neutral
En puebla Armenta! Mier es del equipo de Ebrard y por eso fuchi.    ,neutral
Jajajaja viejo ridiculo    ,amusement
"Qué hueva, puras copias baratas del gobierno federal.    ",neutral
"De Guadalajara, de Zapopan, de Tlajomulco, de Acatlán de Juárez de todo Jalisco. Es un asco el movimiento narcoInmobiliario, esperemos que usted haga el cambio para bien!!    ",optimism
2   3.221,neutral
Viva catering se llama. Una joya quien está detrás de todo. Igual en zapopan. Mismo proveedor    ,neutral
"En la CDMX, la ruta es Clara, de ahí pueden partir en 4 y 4. Puede haber un procedimiento partidario para evitar sobre-representación.    ",neutral
"Quiero tomar un momento para agradecerles de corazón por sus palabras y comentarios tan alentadores.

¡Ustedes son mi motor y fuente de inspiración! 0:32  ",admiration
Por supuesto q el mejor es Chema Martinez    ,admiration
4 30 65 mil,neutral
     ,neutral
     ,neutral
"| El regidor de Monera, , denuncia gastos excesivos en banquetes de gobierno tapatío.  ",neutral
están cordialmente invitados    ,neutral
"8 18 657,8 mil",neutral
", encabeza el Top 10 del el de ,",neutral
. y .,neutral
     ,neutral
"deberias de investigar el edifico lobby 33 te vas a sorprender, o también te regalaron depa como    ",surprise
Saludos    ,admiration
"Y afuera de presidencia porque adentro no te dejan pinche ratota, ponte a trabajar huevón. Quiérete tantito príncipe. No la vas a ganar jajaja  ",amusement
"Ridículo, ponte a trabajar en lugar de hacer    ",disgust
"4 32 75,5 mil",neutral
Y las denuncias.....puro bla bla....Queremos denuncias    ,neutral
Chema    ,neutral
"Les gusta hacer caravana con sombrero ajeno, tanto que criticaron y salieron peo.    ",neutral
es del prian? Jajajaja no ma mes    ,amusement
"60 83 2,4 M",neutral
¿Es a la que le vendes fentanilo?    ,curiosity
"No muestran pruebas, solo habla y habla, en cambio todos los jaliscienses sabemos lo rata que es ese señor.    ",neutral
"y el doctor ni eso da, par de méndigos    ",neutral
Viejo hipocrita antes bien pegado a Augusto y ahora a donde mas le conviene.    ,neutral
"75 146 5,4 M",neutral
Contratan p eventos VIP de Lemus mil banquetes más de 3 tiempos con bebidas para 2 meses que restan del año por más de 1 millón de pesos mientras los trabajadores de que estarán en la Romería les darán lonches y su chesco con costo de 13 mil pesos señaló  ,neutral
Sigue de aferrado al hueso este tipo perdedor    ,neutral
Yo tengo otros datos lambiscon    ,neutral
Te falto en Jalisco Juan Carlos Solano que tiene!!  ,sadness
"¿Y las pruebas? te gusta hablar sin pruebas, puro teatro el tuyo.    ",neutral
"Pónganse a chambear, huevones.    ",neutral
